year,Maye
1880,9
1881,10
1882,5
1883,11
1884,13
1885,16
1886,19
1887,16
1888,20
1889,18
1890,18
1891,22
1892,23
1893,22
1894,27
1895,30
1896,22
1897,26
1898,30
1899,18
1900,36
1901,20
1902,25
1903,40
1904,38
1905,30
1906,22
1907,30
1908,34
1909,29
1910,32
1911,40
1912,37
1913,42
1914,43
1915,48
1916,55
1917,36
1918,41
1919,50
1920,54
1921,57
1922,42
1923,30
1924,29
1925,31
1926,25
1927,26
1928,30
1929,16
1930,16
1931,19
1932,17
1933,16
1934,25
1935,15
1936,10
1937,29
1938,14
1939,15
1940,12
1941,14
1942,6
1943,18
1944,10
1945,16
1946,13
1947,13
1948,15
1949,11
1950,10
1951,5
1952,9
1953,0
1954,7
1955,0
1956,5
1957,0
1958,6
1959,0
1960,5
1961,7
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,7
2004,0
2005,0
2006,5
2007,0
2008,9
2009,8
2010,6
2011,0
2012,10
