year,Modesto
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,0
1910,0
1911,0
1912,7
1913,8
1914,11
1915,18
1916,19
1917,18
1918,20
1919,14
1920,14
1921,11
1922,10
1923,20
1924,22
1925,34
1926,28
1927,39
1928,26
1929,29
1930,26
1931,24
1932,23
1933,16
1934,16
1935,27
1936,13
1937,16
1938,25
1939,17
1940,21
1941,25
1942,27
1943,19
1944,27
1945,26
1946,24
1947,23
1948,29
1949,24
1950,22
1951,27
1952,20
1953,26
1954,12
1955,23
1956,19
1957,27
1958,36
1959,33
1960,37
1961,23
1962,27
1963,24
1964,16
1965,22
1966,25
1967,25
1968,26
1969,37
1970,32
1971,30
1972,37
1973,32
1974,27
1975,20
1976,32
1977,26
1978,28
1979,31
1980,34
1981,31
1982,20
1983,27
1984,25
1985,29
1986,31
1987,20
1988,30
1989,26
1990,34
1991,37
1992,28
1993,23
1994,27
1995,28
1996,24
1997,23
1998,30
1999,26
2000,35
2001,31
2002,19
2003,22
2004,21
2005,14
2006,21
2007,22
2008,19
2009,16
2010,16
2011,14
2012,10
