year,Mathew (F),Mathew (M)
1880,0.000000,0.000298
1881,0.000000,0.000285
1882,0.000000,0.000212
1883,0.000000,0.000171
1884,0.000000,0.000218
1885,0.000000,0.000141
1886,0.000000,0.000188
1887,0.000000,0.000125
1888,0.000000,0.000224
1889,0.000000,0.000145
1890,0.000000,0.000143
1891,0.000000,0.000153
1892,0.000000,0.000164
1893,0.000000,0.000120
1894,0.000000,0.000089
1895,0.000000,0.000094
1896,0.000000,0.000112
1897,0.000000,0.000144
1898,0.000000,0.000110
1899,0.000000,0.000115
1900,0.000000,0.000127
1901,0.000000,0.000113
1902,0.000000,0.000103
1903,0.000000,0.000089
1904,0.000000,0.000072
1905,0.000000,0.000085
1906,0.000000,0.000049
1907,0.000000,0.000116
1908,0.000000,0.000068
1909,0.000000,0.000082
1910,0.000000,0.000090
1911,0.000000,0.000070
1912,0.000000,0.000122
1913,0.000000,0.000123
1914,0.000000,0.000101
1915,0.000000,0.000111
1916,0.000000,0.000112
1917,0.000000,0.000104
1918,0.000000,0.000094
1919,0.000000,0.000118
1920,0.000000,0.000091
1921,0.000000,0.000082
1922,0.000000,0.000089
1923,0.000000,0.000077
1924,0.000000,0.000081
1925,0.000000,0.000070
1926,0.000000,0.000073
1927,0.000000,0.000064
1928,0.000000,0.000068
1929,0.000000,0.000062
1930,0.000000,0.000054
1931,0.000000,0.000046
1932,0.000000,0.000048
1933,0.000000,0.000045
1934,0.000000,0.000044
1935,0.000000,0.000043
1936,0.000000,0.000040
1937,0.000000,0.000035
1938,0.000000,0.000035
1939,0.000000,0.000030
1940,0.000000,0.000039
1941,0.000000,0.000034
1942,0.000000,0.000029
1943,0.000000,0.000029
1944,0.000000,0.000028
1945,0.000000,0.000034
1946,0.000000,0.000024
1947,0.000000,0.000026
1948,0.000000,0.000024
1949,0.000000,0.000033
1950,0.000000,0.000025
1951,0.000000,0.000033
1952,0.000000,0.000037
1953,0.000000,0.000042
1954,0.000000,0.000046
1955,0.000000,0.000043
1956,0.000000,0.000056
1957,0.000000,0.000060
1958,0.000000,0.000084
1959,0.000000,0.000086
1960,0.000000,0.000081
1961,0.000000,0.000083
1962,0.000000,0.000081
1963,0.000000,0.000105
1964,0.000000,0.000115
1965,0.000000,0.000123
1966,0.000000,0.000137
1967,0.000000,0.000175
1968,0.000000,0.000183
1969,0.000000,0.000189
1970,0.000000,0.000230
1971,0.000000,0.000273
1972,0.000000,0.000289
1973,0.000003,0.000340
1974,0.000003,0.000356
1975,0.000002,0.000373
1976,0.000002,0.000383
1977,0.000002,0.000391
1978,0.000004,0.000404
1979,0.000003,0.000378
1980,0.000002,0.000387
1981,0.000000,0.000470
1982,0.000001,0.000488
1983,0.000003,0.000539
1984,0.000004,0.000565
1985,0.000005,0.000527
1986,0.000005,0.000553
1987,0.000004,0.000568
1988,0.000002,0.000558
1989,0.000002,0.000563
1990,0.000003,0.000551
1991,0.000002,0.000509
1992,0.000002,0.000477
1993,0.000003,0.000452
1994,0.000000,0.000440
1995,0.000000,0.000437
1996,0.000000,0.000415
1997,0.000000,0.000395
1998,0.000000,0.000394
1999,0.000001,0.000399
2000,0.000001,0.000356
2001,0.000000,0.000340
2002,0.000000,0.000300
2003,0.000000,0.000296
2004,0.000000,0.000286
2005,0.000000,0.000284
2006,0.000000,0.000255
2007,0.000000,0.000232
2008,0.000000,0.000211
2009,0.000000,0.000210
2010,0.000000,0.000190
2011,0.000000,0.000189
2012,0.000000,0.000180
2013,0.000000,0.000185
