year,Marita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,0
1905,0
1906,0
1907,7
1908,0
1909,0
1910,11
1911,5
1912,10
1913,16
1914,14
1915,28
1916,22
1917,25
1918,36
1919,31
1920,27
1921,34
1922,26
1923,38
1924,44
1925,39
1926,33
1927,41
1928,39
1929,40
1930,41
1931,44
1932,53
1933,67
1934,59
1935,67
1936,49
1937,59
1938,83
1939,56
1940,65
1941,83
1942,78
1943,73
1944,55
1945,59
1946,86
1947,85
1948,95
1949,94
1950,82
1951,101
1952,91
1953,106
1954,125
1955,120
1956,111
1957,105
1958,118
1959,95
1960,109
1961,102
1962,99
1963,84
1964,80
1965,72
1966,75
1967,63
1968,54
1969,49
1970,41
1971,42
1972,34
1973,42
1974,41
1975,42
1976,38
1977,31
1978,46
1979,33
1980,45
1981,43
1982,49
1983,33
1984,43
1985,42
1986,29
1987,28
1988,24
1989,29
1990,35
1991,29
1992,25
1993,33
1994,23
1995,22
1996,12
1997,13
1998,15
1999,17
2000,20
2001,19
2002,25
2003,13
2004,10
2005,15
2006,12
2007,8
2008,11
2009,6
2010,16
2011,10
2012,15
