year,Merri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,7
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,6
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,7
1938,6
1939,5
1940,7
1941,5
1942,15
1943,15
1944,22
1945,20
1946,30
1947,40
1948,39
1949,55
1950,47
1951,53
1952,64
1953,89
1954,120
1955,128
1956,115
1957,120
1958,115
1959,140
1960,150
1961,139
1962,144
1963,157
1964,136
1965,96
1966,95
1967,90
1968,78
1969,65
1970,77
1971,54
1972,56
1973,35
1974,28
1975,41
1976,38
1977,37
1978,27
1979,26
1980,31
1981,25
1982,29
1983,20
1984,21
1985,18
1986,16
1987,15
1988,18
1989,9
1990,13
1991,22
1992,10
1993,8
1994,8
1995,8
1996,6
1997,6
1998,5
1999,13
2000,7
2001,0
2002,7
2003,0
2004,6
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,5
