year,Marnita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,7
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,5
1957,6
1958,0
1959,0
1960,0
1961,145
1962,202
1963,37
1964,24
1965,19
1966,12
1967,14
1968,10
1969,10
1970,6
1971,7
1972,6
1973,5
1974,8
1975,7
1976,5
1977,8
1978,8
1979,10
1980,11
1981,14
1982,8
1983,7
1984,8
1985,6
1986,7
1987,9
1988,0
1989,12
1990,13
1991,9
1992,0
1993,8
1994,8
1995,7
1996,9
1997,5
1998,7
1999,0
2000,6
2001,8
2002,11
2003,0
2004,0
2005,10
2006,5
2007,12
2008,6
2009,0
2010,5
2011,6
2012,7
