year,Marna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,10
1916,8
1917,10
1918,12
1919,11
1920,17
1921,24
1922,33
1923,31
1924,18
1925,24
1926,27
1927,28
1928,46
1929,28
1930,39
1931,36
1932,24
1933,33
1934,40
1935,39
1936,45
1937,44
1938,46
1939,41
1940,46
1941,35
1942,59
1943,43
1944,38
1945,46
1946,53
1947,77
1948,48
1949,55
1950,67
1951,70
1952,68
1953,51
1954,72
1955,50
1956,51
1957,49
1958,51
1959,44
1960,45
1961,36
1962,39
1963,38
1964,46
1965,50
1966,53
1967,49
1968,61
1969,74
1970,66
1971,49
1972,42
1973,36
1974,33
1975,29
1976,27
1977,15
1978,17
1979,14
1980,10
1981,10
1982,7
1983,9
1984,5
1985,0
1986,6
1987,0
1988,0
1989,5
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
