year,Mckenna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,5
1973,5
1974,0
1975,0
1976,6
1977,5
1978,0
1979,7
1980,0
1981,23
1982,48
1983,32
1984,37
1985,76
1986,64
1987,53
1988,95
1989,91
1990,143
1991,214
1992,390
1993,381
1994,689
1995,1109
1996,1250
1997,1342
1998,1451
1999,1581
2000,1710
2001,1699
2002,1804
2003,1695
2004,1669
2005,1662
2006,1577
2007,1552
2008,1521
2009,1505
2010,1377
2011,1331
2012,1396
