year,Madlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,6
1900,5
1901,0
1902,7
1903,8
1904,15
1905,7
1906,9
1907,10
1908,8
1909,7
1910,7
1911,13
1912,24
1913,27
1914,32
1915,51
1916,46
1917,36
1918,44
1919,51
1920,46
1921,45
1922,76
1923,59
1924,53
1925,46
1926,43
1927,39
1928,38
1929,35
1930,39
1931,35
1932,22
1933,30
1934,13
1935,22
1936,21
1937,36
1938,31
1939,16
1940,27
1941,15
1942,31
1943,26
1944,22
1945,24
1946,28
1947,33
1948,29
1949,23
1950,25
1951,23
1952,28
1953,25
1954,25
1955,13
1956,12
1957,14
1958,14
1959,15
1960,21
1961,10
1962,18
1963,14
1964,11
1965,17
1966,10
1967,10
1968,10
1969,9
1970,11
1971,6
1972,7
1973,9
1974,7
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,7
1989,9
1990,14
1991,6
1992,9
1993,11
1994,10
1995,19
1996,15
1997,14
1998,16
1999,21
2000,25
2001,30
2002,26
2003,26
2004,15
2005,32
2006,25
2007,22
2008,31
2009,20
2010,17
2011,15
2012,19
