year,Maribeth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,5
1919,7
1920,7
1921,11
1922,11
1923,0
1924,0
1925,7
1926,7
1927,11
1928,10
1929,12
1930,11
1931,13
1932,5
1933,14
1934,13
1935,18
1936,13
1937,13
1938,21
1939,25
1940,20
1941,49
1942,37
1943,55
1944,86
1945,73
1946,76
1947,89
1948,79
1949,97
1950,114
1951,118
1952,164
1953,156
1954,179
1955,163
1956,184
1957,216
1958,194
1959,178
1960,190
1961,205
1962,178
1963,176
1964,164
1965,203
1966,151
1967,123
1968,93
1969,101
1970,87
1971,90
1972,56
1973,55
1974,64
1975,41
1976,47
1977,66
1978,57
1979,54
1980,68
1981,56
1982,55
1983,52
1984,60
1985,70
1986,59
1987,46
1988,68
1989,49
1990,34
1991,55
1992,30
1993,28
1994,34
1995,35
1996,26
1997,28
1998,22
1999,26
2000,29
2001,25
2002,15
2003,20
2004,18
2005,17
2006,22
2007,13
2008,19
2009,18
2010,17
2011,25
2012,16
