year,Marciano
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,6
1920,0
1921,6
1922,6
1923,0
1924,0
1925,6
1926,7
1927,5
1928,8
1929,7
1930,10
1931,0
1932,6
1933,0
1934,7
1935,0
1936,8
1937,0
1938,0
1939,0
1940,6
1941,6
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,6
1951,13
1952,11
1953,19
1954,8
1955,8
1956,10
1957,0
1958,7
1959,9
1960,7
1961,7
1962,10
1963,10
1964,10
1965,0
1966,7
1967,0
1968,7
1969,10
1970,9
1971,8
1972,7
1973,5
1974,7
1975,7
1976,6
1977,11
1978,10
1979,13
1980,15
1981,7
1982,14
1983,14
1984,5
1985,7
1986,9
1987,12
1988,11
1989,13
1990,12
1991,15
1992,12
1993,9
1994,5
1995,8
1996,14
1997,15
1998,9
1999,19
2000,21
2001,7
2002,17
2003,14
2004,19
2005,14
2006,25
2007,27
2008,33
2009,31
2010,23
2011,29
2012,23
