year,Majorie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,5
1906,8
1907,6
1908,9
1909,7
1910,7
1911,10
1912,15
1913,14
1914,16
1915,24
1916,17
1917,38
1918,30
1919,46
1920,39
1921,45
1922,48
1923,39
1924,31
1925,43
1926,37
1927,26
1928,35
1929,21
1930,21
1931,37
1932,23
1933,18
1934,17
1935,15
1936,21
1937,11
1938,6
1939,11
1940,15
1941,15
1942,16
1943,14
1944,9
1945,8
1946,15
1947,12
1948,12
1949,11
1950,11
1951,13
1952,10
1953,8
1954,8
1955,13
1956,10
1957,13
1958,5
1959,7
1960,7
1961,7
1962,6
1963,13
1964,13
1965,20
1966,13
1967,10
1968,5
1969,8
1970,10
1971,6
1972,12
1973,6
1974,10
1975,7
1976,0
1977,5
1978,7
1979,8
1980,10
1981,6
1982,0
1983,6
1984,8
1985,8
1986,7
1987,7
1988,11
1989,9
1990,8
1991,7
1992,7
1993,10
1994,5
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,6
2011,0
2012,0
