year,Molly (F),Molly (M)
1880,0.000089,0.000000
1881,0.000171,0.000000
1882,0.000135,0.000000
1883,0.000138,0.000000
1884,0.000131,0.000000
1885,0.000125,0.000000
1886,0.000114,0.000000
1887,0.000129,0.000000
1888,0.000124,0.000000
1889,0.000121,0.000000
1890,0.000153,0.000000
1891,0.000115,0.000000
1892,0.000153,0.000000
1893,0.000178,0.000000
1894,0.000106,0.000000
1895,0.000128,0.000000
1896,0.000137,0.000000
1897,0.000144,0.000000
1898,0.000102,0.000000
1899,0.000139,0.000000
1900,0.000149,0.000000
1901,0.000159,0.000000
1902,0.000140,0.000000
1903,0.000197,0.000000
1904,0.000178,0.000000
1905,0.000167,0.000000
1906,0.000201,0.000000
1907,0.000243,0.000000
1908,0.000207,0.000000
1909,0.000213,0.000000
1910,0.000245,0.000000
1911,0.000200,0.000000
1912,0.000199,0.000000
1913,0.000173,0.000000
1914,0.000174,0.000000
1915,0.000177,0.000000
1916,0.000172,0.000000
1917,0.000154,0.000000
1918,0.000141,0.000000
1919,0.000122,0.000000
1920,0.000109,0.000000
1921,0.000129,0.000000
1922,0.000121,0.000000
1923,0.000127,0.000000
1924,0.000122,0.000000
1925,0.000103,0.000000
1926,0.000111,0.000000
1927,0.000111,0.000000
1928,0.000139,0.000000
1929,0.000146,0.000000
1930,0.000154,0.000000
1931,0.000143,0.000000
1932,0.000149,0.000000
1933,0.000136,0.000000
1934,0.000141,0.000000
1935,0.000144,0.000000
1936,0.000152,0.000000
1937,0.000144,0.000000
1938,0.000148,0.000000
1939,0.000158,0.000000
1940,0.000150,0.000000
1941,0.000139,0.000000
1942,0.000137,0.000000
1943,0.000137,0.000000
1944,0.000136,0.000000
1945,0.000126,0.000000
1946,0.000130,0.000000
1947,0.000134,0.000000
1948,0.000163,0.000000
1949,0.000160,0.000000
1950,0.000161,0.000000
1951,0.000166,0.000000
1952,0.000162,0.000000
1953,0.000151,0.000000
1954,0.000150,0.000000
1955,0.000155,0.000000
1956,0.000159,0.000000
1957,0.000166,0.000000
1958,0.000181,0.000000
1959,0.000183,0.000000
1960,0.000175,0.000000
1961,0.000188,0.000000
1962,0.000204,0.000000
1963,0.000217,0.000000
1964,0.000258,0.000000
1965,0.000293,0.000000
1966,0.000283,0.000000
1967,0.000299,0.000000
1968,0.000302,0.000000
1969,0.000314,0.000000
1970,0.000331,0.000000
1971,0.000345,0.000000
1972,0.000393,0.000002
1973,0.000440,0.000002
1974,0.000487,0.000002
1975,0.000513,0.000002
1976,0.000570,0.000003
1977,0.000651,0.000003
1978,0.000609,0.000003
1979,0.000608,0.000002
1980,0.000639,0.000003
1981,0.000604,0.000003
1982,0.000660,0.000006
1983,0.000667,0.000004
1984,0.000624,0.000004
1985,0.000682,0.000002
1986,0.000716,0.000003
1987,0.000801,0.000003
1988,0.000937,0.000005
1989,0.000900,0.000009
1990,0.001003,0.000002
1991,0.001194,0.000003
1992,0.001077,0.000002
1993,0.000984,0.000001
1994,0.000925,0.000002
1995,0.000924,0.000000
1996,0.000908,0.000002
1997,0.000951,0.000000
1998,0.000867,0.000002
1999,0.000900,0.000002
2000,0.000899,0.000002
2001,0.000912,0.000000
2002,0.000835,0.000000
2003,0.000895,0.000000
2004,0.000875,0.000007
2005,0.000836,0.000002
2006,0.000790,0.000002
2007,0.000854,0.000002
2008,0.000846,0.000001
2009,0.000919,0.000000
2010,0.000910,0.000002
2011,0.000989,0.000002
2012,0.000892,0.000002
2013,0.000846,0.000000
2014,0.000703,0.000001
2015,0.000610,0.000000
2016,0.000541,0.000000
2017,0.000513,0.000000
2018,0.000512,0.000000
2019,0.000507,0.000000
2020,0.000495,0.000000
