year,Marylin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,8
1919,0
1920,6
1921,11
1922,20
1923,26
1924,22
1925,35
1926,28
1927,43
1928,44
1929,42
1930,71
1931,78
1932,107
1933,98
1934,96
1935,80
1936,117
1937,118
1938,100
1939,115
1940,96
1941,108
1942,85
1943,122
1944,99
1945,76
1946,92
1947,107
1948,85
1949,74
1950,77
1951,63
1952,59
1953,73
1954,80
1955,70
1956,60
1957,50
1958,46
1959,42
1960,40
1961,45
1962,37
1963,40
1964,42
1965,30
1966,24
1967,19
1968,33
1969,26
1970,35
1971,32
1972,31
1973,25
1974,13
1975,16
1976,20
1977,15
1978,15
1979,10
1980,13
1981,15
1982,13
1983,9
1984,19
1985,12
1986,11
1987,11
1988,21
1989,23
1990,20
1991,20
1992,23
1993,28
1994,23
1995,30
1996,27
1997,26
1998,26
1999,24
2000,27
2001,25
2002,27
2003,30
2004,31
2005,33
2006,34
2007,24
2008,34
2009,32
2010,28
2011,25
2012,26
