year,Merilee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,6
1930,7
1931,0
1932,0
1933,0
1934,0
1935,0
1936,7
1937,9
1938,0
1939,5
1940,12
1941,0
1942,37
1943,22
1944,22
1945,16
1946,36
1947,31
1948,39
1949,37
1950,31
1951,33
1952,29
1953,38
1954,38
1955,37
1956,32
1957,45
1958,36
1959,21
1960,26
1961,54
1962,36
1963,25
1964,24
1965,24
1966,21
1967,12
1968,11
1969,21
1970,22
1971,22
1972,21
1973,16
1974,15
1975,18
1976,6
1977,15
1978,18
1979,16
1980,17
1981,13
1982,15
1983,7
1984,10
1985,8
1986,0
1987,5
1988,5
1989,11
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
