year,Mckinley (F),Mckinley (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000023
1891,0.000000,0.000017
1892,0.000000,0.000033
1893,0.000000,0.000046
1894,0.000000,0.000056
1895,0.000000,0.000097
1896,0.000000,0.000338
1897,0.000000,0.000331
1898,0.000000,0.000207
1899,0.000000,0.000212
1900,0.000000,0.000295
1901,0.000000,0.000223
1902,0.000000,0.000150
1903,0.000000,0.000118
1904,0.000000,0.000149
1905,0.000000,0.000083
1906,0.000000,0.000082
1907,0.000000,0.000084
1908,0.000000,0.000065
1909,0.000000,0.000070
1910,0.000000,0.000046
1911,0.000000,0.000031
1912,0.000000,0.000038
1913,0.000000,0.000040
1914,0.000000,0.000038
1915,0.000000,0.000033
1916,0.000000,0.000038
1917,0.000000,0.000051
1918,0.000000,0.000050
1919,0.000000,0.000059
1920,0.000000,0.000065
1921,0.000000,0.000045
1922,0.000000,0.000059
1923,0.000000,0.000053
1924,0.000000,0.000053
1925,0.000000,0.000044
1926,0.000000,0.000054
1927,0.000000,0.000062
1928,0.000000,0.000056
1929,0.000000,0.000055
1930,0.000000,0.000048
1931,0.000000,0.000050
1932,0.000000,0.000049
1933,0.000000,0.000047
1934,0.000000,0.000039
1935,0.000000,0.000047
1936,0.000000,0.000033
1937,0.000000,0.000046
1938,0.000000,0.000037
1939,0.000000,0.000036
1940,0.000000,0.000032
1941,0.000000,0.000030
1942,0.000000,0.000035
1943,0.000000,0.000029
1944,0.000000,0.000036
1945,0.000000,0.000035
1946,0.000000,0.000026
1947,0.000000,0.000027
1948,0.000000,0.000028
1949,0.000000,0.000031
1950,0.000000,0.000033
1951,0.000000,0.000025
1952,0.000000,0.000024
1953,0.000000,0.000025
1954,0.000000,0.000027
1955,0.000000,0.000023
1956,0.000000,0.000021
1957,0.000000,0.000024
1958,0.000000,0.000021
1959,0.000000,0.000019
1960,0.000000,0.000017
1961,0.000000,0.000022
1962,0.000000,0.000015
1963,0.000000,0.000015
1964,0.000000,0.000019
1965,0.000000,0.000016
1966,0.000000,0.000018
1967,0.000000,0.000012
1968,0.000000,0.000013
1969,0.000000,0.000015
1970,0.000000,0.000009
1971,0.000000,0.000015
1972,0.000000,0.000013
1973,0.000000,0.000011
1974,0.000000,0.000008
1975,0.000000,0.000015
1976,0.000000,0.000013
1977,0.000000,0.000017
1978,0.000002,0.000012
1979,0.000002,0.000012
1980,0.000002,0.000016
1981,0.000000,0.000014
1982,0.000002,0.000011
1983,0.000001,0.000012
1984,0.000001,0.000011
1985,0.000002,0.000015
1986,0.000003,0.000012
1987,0.000004,0.000017
1988,0.000004,0.000011
1989,0.000003,0.000013
1990,0.000004,0.000014
1991,0.000004,0.000017
1992,0.000008,0.000017
1993,0.000010,0.000018
1994,0.000011,0.000022
1995,0.000018,0.000023
1996,0.000025,0.000024
1997,0.000023,0.000025
1998,0.000032,0.000024
1999,0.000037,0.000025
2000,0.000047,0.000029
2001,0.000046,0.000025
2002,0.000045,0.000027
2003,0.000048,0.000020
2004,0.000057,0.000024
2005,0.000059,0.000020
2006,0.000069,0.000020
2007,0.000065,0.000018
2008,0.000079,0.000016
2009,0.000098,0.000020
2010,0.000142,0.000020
2011,0.000184,0.000024
2012,0.000187,0.000023
2013,0.000219,0.000017
