year,Minna
1880,17
1881,10
1882,21
1883,7
1884,19
1885,20
1886,18
1887,32
1888,31
1889,43
1890,34
1891,36
1892,33
1893,43
1894,34
1895,48
1896,32
1897,42
1898,33
1899,27
1900,39
1901,23
1902,25
1903,20
1904,26
1905,30
1906,24
1907,34
1908,32
1909,42
1910,33
1911,32
1912,30
1913,44
1914,51
1915,47
1916,54
1917,49
1918,34
1919,37
1920,22
1921,24
1922,35
1923,23
1924,29
1925,17
1926,23
1927,20
1928,14
1929,19
1930,15
1931,11
1932,7
1933,13
1934,13
1935,18
1936,8
1937,10
1938,21
1939,18
1940,14
1941,14
1942,21
1943,9
1944,14
1945,7
1946,15
1947,18
1948,13
1949,10
1950,14
1951,5
1952,9
1953,7
1954,11
1955,12
1956,9
1957,11
1958,8
1959,0
1960,9
1961,0
1962,0
1963,0
1964,5
1965,5
1966,5
1967,8
1968,10
1969,8
1970,12
1971,16
1972,11
1973,15
1974,16
1975,12
1976,22
1977,8
1978,12
1979,10
1980,14
1981,20
1982,20
1983,16
1984,12
1985,10
1986,10
1987,21
1988,21
1989,15
1990,19
1991,28
1992,17
1993,24
1994,21
1995,22
1996,17
1997,28
1998,27
1999,22
2000,18
2001,20
2002,22
2003,24
2004,22
2005,25
2006,31
2007,20
2008,27
2009,30
2010,23
2011,28
2012,32
