year,Marika
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,7
1947,0
1948,6
1949,0
1950,0
1951,6
1952,5
1953,7
1954,12
1955,0
1956,15
1957,11
1958,5
1959,17
1960,15
1961,12
1962,10
1963,24
1964,23
1965,20
1966,25
1967,29
1968,21
1969,27
1970,37
1971,25
1972,24
1973,39
1974,39
1975,35
1976,39
1977,59
1978,45
1979,59
1980,54
1981,44
1982,55
1983,51
1984,52
1985,46
1986,63
1987,59
1988,64
1989,60
1990,78
1991,85
1992,89
1993,96
1994,61
1995,57
1996,62
1997,48
1998,36
1999,39
2000,40
2001,35
2002,28
2003,22
2004,21
2005,22
2006,22
2007,17
2008,25
2009,16
2010,12
2011,17
2012,21
