year,Myia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,5
1971,10
1972,6
1973,6
1974,6
1975,11
1976,11
1977,25
1978,22
1979,27
1980,29
1981,39
1982,24
1983,12
1984,23
1985,24
1986,19
1987,28
1988,22
1989,29
1990,67
1991,43
1992,58
1993,60
1994,42
1995,57
1996,63
1997,78
1998,123
1999,103
2000,106
2001,80
2002,82
2003,81
2004,83
2005,72
2006,83
2007,67
2008,61
2009,63
2010,44
2011,49
2012,42
