year,Madaline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,12
1891,0
1892,9
1893,9
1894,10
1895,14
1896,22
1897,17
1898,20
1899,13
1900,28
1901,17
1902,21
1903,23
1904,18
1905,17
1906,34
1907,32
1908,30
1909,35
1910,25
1911,37
1912,39
1913,50
1914,62
1915,89
1916,82
1917,112
1918,114
1919,91
1920,111
1921,102
1922,95
1923,99
1924,92
1925,76
1926,67
1927,54
1928,46
1929,52
1930,58
1931,49
1932,35
1933,44
1934,43
1935,29
1936,25
1937,26
1938,30
1939,25
1940,31
1941,28
1942,37
1943,34
1944,23
1945,31
1946,32
1947,37
1948,34
1949,42
1950,38
1951,36
1952,17
1953,38
1954,24
1955,20
1956,16
1957,25
1958,19
1959,22
1960,27
1961,13
1962,15
1963,16
1964,12
1965,11
1966,12
1967,15
1968,12
1969,11
1970,12
1971,14
1972,8
1973,11
1974,11
1975,15
1976,12
1977,5
1978,12
1979,0
1980,5
1981,9
1982,6
1983,8
1984,0
1985,6
1986,13
1987,21
1988,15
1989,14
1990,15
1991,22
1992,25
1993,27
1994,26
1995,50
1996,77
1997,48
1998,73
1999,67
2000,78
2001,91
2002,74
2003,71
2004,73
2005,76
2006,56
2007,73
2008,85
2009,88
2010,78
2011,57
2012,44
