year,Mennie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,5
1902,0
1903,6
1904,0
1905,0
1906,0
1907,11
1908,7
1909,7
1910,14
1911,7
1912,9
1913,12
1914,21
1915,18
1916,24
1917,24
1918,23
1919,23
1920,18
1921,24
1922,22
1923,12
1924,17
1925,23
1926,23
1927,21
1928,25
1929,14
1930,15
1931,19
1932,22
1933,16
1934,17
1935,19
1936,8
1937,12
1938,10
1939,12
1940,11
1941,5
1942,9
1943,17
1944,8
1945,14
1946,0
1947,0
1948,6
1949,0
1950,8
1951,9
1952,5
1953,9
1954,5
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
