year,Mirian
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,6
1913,7
1914,12
1915,6
1916,20
1917,10
1918,11
1919,6
1920,9
1921,15
1922,11
1923,24
1924,17
1925,23
1926,11
1927,22
1928,15
1929,15
1930,9
1931,0
1932,10
1933,7
1934,10
1935,8
1936,0
1937,8
1938,7
1939,5
1940,10
1941,9
1942,5
1943,10
1944,7
1945,9
1946,8
1947,10
1948,14
1949,10
1950,14
1951,11
1952,23
1953,13
1954,17
1955,24
1956,24
1957,28
1958,24
1959,27
1960,27
1961,23
1962,28
1963,23
1964,26
1965,30
1966,26
1967,28
1968,21
1969,31
1970,26
1971,30
1972,25
1973,26
1974,32
1975,24
1976,25
1977,26
1978,34
1979,32
1980,26
1981,46
1982,52
1983,47
1984,34
1985,36
1986,33
1987,34
1988,37
1989,49
1990,67
1991,61
1992,77
1993,83
1994,70
1995,69
1996,72
1997,57
1998,64
1999,64
2000,93
2001,80
2002,89
2003,100
2004,83
2005,88
2006,96
2007,72
2008,60
2009,47
2010,43
2011,30
2012,19
