year,Maceo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,13
1899,9
1900,8
1901,5
1902,5
1903,5
1904,0
1905,7
1906,6
1907,6
1908,0
1909,11
1910,5
1911,6
1912,7
1913,10
1914,13
1915,11
1916,16
1917,9
1918,12
1919,13
1920,19
1921,15
1922,18
1923,26
1924,23
1925,25
1926,18
1927,20
1928,14
1929,19
1930,15
1931,21
1932,20
1933,15
1934,16
1935,28
1936,13
1937,16
1938,12
1939,16
1940,11
1941,10
1942,17
1943,27
1944,10
1945,15
1946,13
1947,16
1948,18
1949,14
1950,15
1951,18
1952,23
1953,17
1954,17
1955,17
1956,13
1957,14
1958,14
1959,10
1960,11
1961,15
1962,17
1963,13
1964,14
1965,11
1966,12
1967,8
1968,11
1969,27
1970,37
1971,45
1972,37
1973,15
1974,45
1975,32
1976,31
1977,17
1978,22
1979,27
1980,24
1981,13
1982,24
1983,15
1984,13
1985,16
1986,15
1987,8
1988,17
1989,18
1990,14
1991,16
1992,20
1993,18
1994,23
1995,27
1996,35
1997,35
1998,37
1999,35
2000,41
2001,32
2002,26
2003,33
2004,34
2005,35
2006,43
2007,44
2008,46
2009,54
2010,56
2011,67
2012,43
