year,Maurene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,6
1907,0
1908,0
1909,0
1910,7
1911,0
1912,7
1913,7
1914,10
1915,12
1916,6
1917,11
1918,14
1919,13
1920,10
1921,11
1922,8
1923,8
1924,9
1925,11
1926,11
1927,7
1928,6
1929,15
1930,9
1931,11
1932,6
1933,12
1934,10
1935,9
1936,11
1937,10
1938,8
1939,17
1940,13
1941,8
1942,12
1943,15
1944,7
1945,10
1946,12
1947,15
1948,16
1949,16
1950,19
1951,15
1952,11
1953,12
1954,20
1955,6
1956,0
1957,11
1958,5
1959,17
1960,12
1961,8
1962,9
1963,0
1964,7
1965,10
1966,6
1967,6
1968,5
1969,7
1970,15
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
