year,Merritt (F),Merritt (M)
1880,0.000000,0.000089
1881,0.000000,0.000067
1882,0.000000,0.000023
1883,0.000000,0.000041
1884,0.000000,0.000037
1885,0.000000,0.000079
1886,0.000000,0.000039
1887,0.000000,0.000057
1888,0.000000,0.000040
1889,0.000000,0.000042
1890,0.000000,0.000040
1891,0.000000,0.000045
1892,0.000000,0.000051
1893,0.000000,0.000046
1894,0.000000,0.000065
1895,0.000000,0.000040
1896,0.000000,0.000039
1897,0.000000,0.000049
1898,0.000000,0.000058
1899,0.000000,0.000065
1900,0.000000,0.000016
1901,0.000000,0.000023
1902,0.000000,0.000036
1903,0.000000,0.000031
1904,0.000000,0.000040
1905,0.000000,0.000045
1906,0.000000,0.000044
1907,0.000000,0.000028
1908,0.000000,0.000018
1909,0.000000,0.000027
1910,0.000000,0.000024
1911,0.000000,0.000029
1912,0.000000,0.000053
1913,0.000000,0.000057
1914,0.000000,0.000039
1915,0.000000,0.000044
1916,0.000000,0.000049
1917,0.000000,0.000048
1918,0.000000,0.000043
1919,0.000002,0.000038
1920,0.000000,0.000047
1921,0.000000,0.000049
1922,0.000000,0.000047
1923,0.000000,0.000039
1924,0.000000,0.000051
1925,0.000000,0.000035
1926,0.000000,0.000042
1927,0.000000,0.000035
1928,0.000000,0.000039
1929,0.000000,0.000036
1930,0.000000,0.000034
1931,0.000000,0.000033
1932,0.000000,0.000027
1933,0.000000,0.000032
1934,0.000000,0.000030
1935,0.000000,0.000024
1936,0.000000,0.000033
1937,0.000000,0.000029
1938,0.000000,0.000028
1939,0.000000,0.000030
1940,0.000000,0.000023
1941,0.000000,0.000025
1942,0.000000,0.000019
1943,0.000000,0.000024
1944,0.000000,0.000021
1945,0.000000,0.000020
1946,0.000000,0.000019
1947,0.000000,0.000016
1948,0.000000,0.000017
1949,0.000000,0.000016
1950,0.000000,0.000015
1951,0.000002,0.000013
1952,0.000000,0.000012
1953,0.000000,0.000015
1954,0.000000,0.000014
1955,0.000000,0.000012
1956,0.000000,0.000010
1957,0.000000,0.000010
1958,0.000001,0.000007
1959,0.000000,0.000012
1960,0.000000,0.000009
1961,0.000004,0.000011
1962,0.000003,0.000010
1963,0.000003,0.000008
1964,0.000004,0.000010
1965,0.000000,0.000008
1966,0.000011,0.000010
1967,0.000008,0.000007
1968,0.000009,0.000007
1969,0.000009,0.000009
1970,0.000009,0.000008
1971,0.000004,0.000007
1972,0.000007,0.000008
1973,0.000005,0.000006
1974,0.000006,0.000006
1975,0.000007,0.000006
1976,0.000006,0.000005
1977,0.000006,0.000008
1978,0.000009,0.000006
1979,0.000008,0.000007
1980,0.000005,0.000005
1981,0.000004,0.000006
1982,0.000003,0.000005
1983,0.000003,0.000006
1984,0.000006,0.000005
1985,0.000006,0.000006
1986,0.000006,0.000007
1987,0.000006,0.000007
1988,0.000006,0.000005
1989,0.000005,0.000008
1990,0.000006,0.000004
1991,0.000005,0.000005
1992,0.000005,0.000005
1993,0.000003,0.000006
1994,0.000006,0.000005
1995,0.000010,0.000007
1996,0.000008,0.000005
1997,0.000009,0.000005
1998,0.000005,0.000004
1999,0.000009,0.000006
2000,0.000008,0.000006
2001,0.000010,0.000006
2002,0.000007,0.000007
2003,0.000012,0.000005
2004,0.000009,0.000007
2005,0.000010,0.000007
2006,0.000006,0.000007
2007,0.000009,0.000008
2008,0.000011,0.000007
2009,0.000008,0.000009
2010,0.000008,0.000010
2011,0.000010,0.000011
2012,0.000012,0.000012
