year,Marlin (F),Marlin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000021
1892,0.000000,0.000000
1893,0.000000,0.000028
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000020
1898,0.000000,0.000021
1899,0.000000,0.000018
1900,0.000000,0.000024
1901,0.000000,0.000032
1902,0.000000,0.000039
1903,0.000000,0.000018
1904,0.000000,0.000040
1905,0.000000,0.000021
1906,0.000000,0.000028
1907,0.000000,0.000019
1908,0.000000,0.000039
1909,0.000000,0.000029
1910,0.000000,0.000024
1911,0.000000,0.000054
1912,0.000000,0.000075
1913,0.000000,0.000069
1914,0.000000,0.000068
1915,0.000003,0.000070
1916,0.000000,0.000080
1917,0.000000,0.000082
1918,0.000000,0.000084
1919,0.000002,0.000087
1920,0.000000,0.000076
1921,0.000000,0.000090
1922,0.000000,0.000096
1923,0.000000,0.000085
1924,0.000002,0.000100
1925,0.000000,0.000103
1926,0.000003,0.000103
1927,0.000003,0.000108
1928,0.000005,0.000124
1929,0.000000,0.000121
1930,0.000000,0.000140
1931,0.000004,0.000143
1932,0.000006,0.000166
1933,0.000005,0.000170
1934,0.000002,0.000156
1935,0.000007,0.000184
1936,0.000005,0.000162
1937,0.000008,0.000162
1938,0.000005,0.000155
1939,0.000005,0.000167
1940,0.000006,0.000137
1941,0.000007,0.000142
1942,0.000006,0.000110
1943,0.000004,0.000118
1944,0.000004,0.000081
1945,0.000003,0.000106
1946,0.000003,0.000102
1947,0.000004,0.000088
1948,0.000004,0.000086
1949,0.000003,0.000081
1950,0.000002,0.000082
1951,0.000004,0.000073
1952,0.000002,0.000081
1953,0.000001,0.000076
1954,0.000004,0.000085
1955,0.000002,0.000073
1956,0.000003,0.000070
1957,0.000004,0.000066
1958,0.000003,0.000069
1959,0.000002,0.000058
1960,0.000003,0.000056
1961,0.000002,0.000059
1962,0.000005,0.000055
1963,0.000004,0.000054
1964,0.000002,0.000058
1965,0.000004,0.000061
1966,0.000004,0.000064
1967,0.000002,0.000051
1968,0.000007,0.000054
1969,0.000003,0.000046
1970,0.000003,0.000050
1971,0.000004,0.000073
1972,0.000004,0.000075
1973,0.000003,0.000066
1974,0.000004,0.000074
1975,0.000002,0.000052
1976,0.000003,0.000055
1977,0.000002,0.000049
1978,0.000004,0.000044
1979,0.000003,0.000038
1980,0.000002,0.000035
1981,0.000005,0.000035
1982,0.000004,0.000034
1983,0.000005,0.000036
1984,0.000003,0.000031
1985,0.000003,0.000030
1986,0.000005,0.000024
1987,0.000006,0.000028
1988,0.000005,0.000034
1989,0.000007,0.000030
1990,0.000007,0.000030
1991,0.000011,0.000029
1992,0.000007,0.000028
1993,0.000006,0.000032
1994,0.000008,0.000030
1995,0.000006,0.000031
1996,0.000006,0.000027
1997,0.000007,0.000032
1998,0.000009,0.000026
1999,0.000006,0.000026
2000,0.000007,0.000023
2001,0.000010,0.000025
2002,0.000010,0.000021
2003,0.000008,0.000024
2004,0.000010,0.000022
2005,0.000008,0.000026
2006,0.000010,0.000024
2007,0.000009,0.000024
2008,0.000010,0.000020
2009,0.000006,0.000017
2010,0.000007,0.000018
2011,0.000009,0.000022
2012,0.000009,0.000024
