year,Marshal (F),Marshal (M)
1880,0.000000,0.000040
1881,0.000000,0.000047
1882,0.000000,0.000032
1883,0.000000,0.000041
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000027
1889,0.000000,0.000021
1890,0.000000,0.000017
1891,0.000000,0.000021
1892,0.000000,0.000021
1893,0.000000,0.000000
1894,0.000000,0.000032
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000017
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000022
1905,0.000000,0.000000
1906,0.000000,0.000021
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000023
1910,0.000000,0.000015
1911,0.000000,0.000017
1912,0.000000,0.000010
1913,0.000000,0.000016
1914,0.000000,0.000019
1915,0.000000,0.000016
1916,0.000000,0.000017
1917,0.000000,0.000023
1918,0.000000,0.000023
1919,0.000000,0.000019
1920,0.000000,0.000019
1921,0.000000,0.000019
1922,0.000000,0.000026
1923,0.000000,0.000017
1924,0.000000,0.000015
1925,0.000000,0.000021
1926,0.000000,0.000013
1927,0.000000,0.000013
1928,0.000000,0.000018
1929,0.000000,0.000016
1930,0.000000,0.000021
1931,0.000000,0.000016
1932,0.000000,0.000017
1933,0.000000,0.000014
1934,0.000000,0.000013
1935,0.000000,0.000014
1936,0.000000,0.000012
1937,0.000000,0.000013
1938,0.000000,0.000014
1939,0.000000,0.000015
1940,0.000000,0.000009
1941,0.000000,0.000016
1942,0.000000,0.000011
1943,0.000000,0.000012
1944,0.000000,0.000014
1945,0.000000,0.000016
1946,0.000000,0.000012
1947,0.000000,0.000014
1948,0.000000,0.000008
1949,0.000000,0.000009
1950,0.000000,0.000010
1951,0.000000,0.000008
1952,0.000001,0.000008
1953,0.000001,0.000013
1954,0.000002,0.000011
1955,0.000001,0.000010
1956,0.000000,0.000009
1957,0.000001,0.000011
1958,0.000002,0.000010
1959,0.000000,0.000010
1960,0.000000,0.000007
1961,0.000000,0.000007
1962,0.000000,0.000008
1963,0.000002,0.000007
1964,0.000000,0.000009
1965,0.000000,0.000010
1966,0.000002,0.000009
1967,0.000000,0.000011
1968,0.000000,0.000009
1969,0.000000,0.000008
1970,0.000002,0.000010
1971,0.000002,0.000010
1972,0.000000,0.000012
1973,0.000002,0.000014
1974,0.000000,0.000012
1975,0.000002,0.000012
1976,0.000000,0.000020
1977,0.000000,0.000015
1978,0.000000,0.000015
1979,0.000000,0.000018
1980,0.000000,0.000016
1981,0.000000,0.000016
1982,0.000000,0.000017
1983,0.000000,0.000015
1984,0.000000,0.000015
1985,0.000000,0.000017
1986,0.000000,0.000012
1987,0.000000,0.000016
1988,0.000000,0.000018
1989,0.000000,0.000016
1990,0.000000,0.000016
1991,0.000000,0.000020
1992,0.000000,0.000024
1993,0.000000,0.000016
1994,0.000000,0.000025
1995,0.000000,0.000020
1996,0.000000,0.000026
1997,0.000000,0.000025
1998,0.000000,0.000025
1999,0.000000,0.000026
2000,0.000000,0.000019
2001,0.000000,0.000021
2002,0.000000,0.000023
2003,0.000000,0.000024
2004,0.000000,0.000016
2005,0.000000,0.000017
2006,0.000000,0.000013
2007,0.000000,0.000016
2008,0.000000,0.000013
2009,0.000000,0.000019
2010,0.000000,0.000014
2011,0.000000,0.000016
2012,0.000000,0.000013
2013,0.000000,0.000013
2014,0.000000,0.000018
2015,0.000000,0.000018
2016,0.000000,0.000015
2017,0.000000,0.000013
2018,0.000000,0.000014
2019,0.000000,0.000007
2020,0.000000,0.000009
