year,Marilee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,0
1915,12
1916,10
1917,14
1918,13
1919,17
1920,17
1921,28
1922,24
1923,34
1924,53
1925,47
1926,45
1927,54
1928,58
1929,49
1930,80
1931,72
1932,65
1933,50
1934,77
1935,75
1936,88
1937,146
1938,128
1939,105
1940,127
1941,114
1942,192
1943,188
1944,155
1945,155
1946,171
1947,221
1948,190
1949,171
1950,144
1951,157
1952,201
1953,207
1954,210
1955,214
1956,156
1957,196
1958,180
1959,151
1960,165
1961,165
1962,128
1963,145
1964,127
1965,90
1966,83
1967,74
1968,56
1969,62
1970,76
1971,59
1972,46
1973,44
1974,42
1975,43
1976,40
1977,36
1978,38
1979,36
1980,35
1981,41
1982,39
1983,40
1984,38
1985,42
1986,38
1987,39
1988,36
1989,32
1990,28
1991,18
1992,40
1993,24
1994,23
1995,14
1996,25
1997,22
1998,19
1999,15
2000,14
2001,19
2002,23
2003,22
2004,19
2005,16
2006,19
2007,25
2008,17
2009,17
2010,9
2011,14
2012,14
