year,Monette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,6
1913,0
1914,5
1915,17
1916,9
1917,0
1918,8
1919,6
1920,7
1921,11
1922,10
1923,12
1924,9
1925,9
1926,7
1927,17
1928,11
1929,10
1930,6
1931,0
1932,8
1933,15
1934,10
1935,16
1936,14
1937,13
1938,16
1939,8
1940,13
1941,8
1942,18
1943,6
1944,11
1945,11
1946,12
1947,22
1948,12
1949,20
1950,16
1951,18
1952,16
1953,17
1954,13
1955,19
1956,13
1957,22
1958,23
1959,26
1960,37
1961,38
1962,40
1963,30
1964,37
1965,40
1966,36
1967,35
1968,29
1969,34
1970,39
1971,26
1972,26
1973,12
1974,19
1975,14
1976,23
1977,18
1978,13
1979,20
1980,16
1981,15
1982,12
1983,10
1984,14
1985,15
1986,7
1987,10
1988,15
1989,7
1990,13
1991,10
1992,7
1993,5
1994,0
1995,7
1996,0
1997,0
1998,0
1999,0
2000,9
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
