year,Mellie
1880,16
1881,17
1882,16
1883,21
1884,19
1885,21
1886,30
1887,28
1888,39
1889,26
1890,34
1891,26
1892,20
1893,24
1894,27
1895,48
1896,21
1897,18
1898,19
1899,31
1900,35
1901,27
1902,31
1903,23
1904,27
1905,31
1906,31
1907,28
1908,20
1909,35
1910,31
1911,25
1912,37
1913,37
1914,35
1915,39
1916,41
1917,33
1918,48
1919,47
1920,35
1921,48
1922,26
1923,47
1924,34
1925,38
1926,36
1927,30
1928,27
1929,29
1930,36
1931,38
1932,22
1933,34
1934,26
1935,26
1936,15
1937,19
1938,26
1939,14
1940,15
1941,8
1942,24
1943,19
1944,12
1945,14
1946,9
1947,15
1948,12
1949,12
1950,9
1951,11
1952,8
1953,8
1954,13
1955,7
1956,7
1957,0
1958,0
1959,8
1960,5
1961,8
1962,0
1963,6
1964,9
1965,9
1966,5
1967,5
1968,0
1969,0
1970,8
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,7
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
