year,Monya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,11
1936,11
1937,12
1938,7
1939,12
1940,5
1941,0
1942,9
1943,0
1944,0
1945,6
1946,5
1947,5
1948,0
1949,8
1950,0
1951,0
1952,0
1953,8
1954,7
1955,17
1956,9
1957,11
1958,10
1959,13
1960,9
1961,21
1962,21
1963,24
1964,11
1965,11
1966,25
1967,21
1968,22
1969,17
1970,27
1971,24
1972,9
1973,6
1974,13
1975,21
1976,11
1977,15
1978,11
1979,8
1980,12
1981,14
1982,11
1983,7
1984,0
1985,5
1986,7
1987,5
1988,5
1989,0
1990,0
1991,8
1992,10
1993,6
1994,0
1995,0
1996,9
1997,12
1998,7
1999,6
2000,12
2001,7
2002,6
2003,5
2004,5
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
