year,Marit
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,6
1949,0
1950,7
1951,0
1952,0
1953,0
1954,8
1955,0
1956,5
1957,0
1958,0
1959,5
1960,11
1961,5
1962,0
1963,8
1964,16
1965,11
1966,12
1967,16
1968,8
1969,13
1970,11
1971,8
1972,12
1973,10
1974,9
1975,9
1976,5
1977,17
1978,9
1979,12
1980,9
1981,15
1982,15
1983,15
1984,14
1985,10
1986,9
1987,12
1988,11
1989,10
1990,9
1991,14
1992,13
1993,8
1994,8
1995,15
1996,12
1997,12
1998,11
1999,8
2000,5
2001,10
2002,9
2003,18
2004,15
2005,7
2006,13
2007,12
2008,15
2009,7
2010,9
2011,11
2012,14
