year,Mickey (F),Mickey (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000013,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000018
1903,0.000026,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000012,0.000014
1907,0.000017,0.000015
1908,0.000014,0.000000
1909,0.000014,0.000023
1910,0.000020,0.000029
1911,0.000025,0.000012
1912,0.000017,0.000012
1913,0.000013,0.000018
1914,0.000016,0.000020
1915,0.000016,0.000022
1916,0.000020,0.000017
1917,0.000015,0.000017
1918,0.000017,0.000024
1919,0.000022,0.000022
1920,0.000030,0.000025
1921,0.000034,0.000022
1922,0.000031,0.000026
1923,0.000031,0.000028
1924,0.000041,0.000028
1925,0.000039,0.000030
1926,0.000039,0.000028
1927,0.000036,0.000039
1928,0.000042,0.000041
1929,0.000041,0.000048
1930,0.000042,0.000056
1931,0.000032,0.000066
1932,0.000047,0.000080
1933,0.000042,0.000074
1934,0.000039,0.000080
1935,0.000040,0.000085
1936,0.000033,0.000083
1937,0.000031,0.000081
1938,0.000040,0.000099
1939,0.000032,0.000111
1940,0.000043,0.000158
1941,0.000039,0.000145
1942,0.000051,0.000159
1943,0.000043,0.000140
1944,0.000044,0.000145
1945,0.000044,0.000150
1946,0.000036,0.000153
1947,0.000038,0.000154
1948,0.000067,0.000160
1949,0.000063,0.000157
1950,0.000060,0.000143
1951,0.000050,0.000150
1952,0.000046,0.000132
1953,0.000044,0.000161
1954,0.000042,0.000146
1955,0.000034,0.000157
1956,0.000036,0.000198
1957,0.000034,0.000225
1958,0.000026,0.000191
1959,0.000029,0.000171
1960,0.000030,0.000155
1961,0.000026,0.000154
1962,0.000025,0.000145
1963,0.000022,0.000126
1964,0.000016,0.000131
1965,0.000013,0.000132
1966,0.000014,0.000125
1967,0.000017,0.000155
1968,0.000009,0.000139
1969,0.000012,0.000111
1970,0.000010,0.000109
1971,0.000010,0.000099
1972,0.000015,0.000104
1973,0.000013,0.000105
1974,0.000016,0.000110
1975,0.000012,0.000107
1976,0.000013,0.000105
1977,0.000009,0.000102
1978,0.000006,0.000077
1979,0.000009,0.000075
1980,0.000006,0.000062
1981,0.000005,0.000061
1982,0.000005,0.000051
1983,0.000005,0.000060
1984,0.000007,0.000054
1985,0.000004,0.000048
1986,0.000004,0.000043
1987,0.000003,0.000042
1988,0.000005,0.000039
1989,0.000003,0.000047
1990,0.000004,0.000038
1991,0.000004,0.000037
1992,0.000004,0.000042
1993,0.000004,0.000032
1994,0.000006,0.000033
1995,0.000004,0.000032
1996,0.000003,0.000044
1997,0.000006,0.000038
1998,0.000003,0.000026
1999,0.000003,0.000026
2000,0.000004,0.000026
2001,0.000002,0.000022
2002,0.000002,0.000023
2003,0.000003,0.000020
2004,0.000002,0.000021
2005,0.000002,0.000020
2006,0.000002,0.000016
2007,0.000003,0.000019
2008,0.000003,0.000022
2009,0.000001,0.000022
2010,0.000001,0.000018
2011,0.000003,0.000023
2012,0.000000,0.000020
2013,0.000003,0.000022
