year,Margareta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,5
1913,7
1914,0
1915,5
1916,9
1917,7
1918,10
1919,13
1920,9
1921,5
1922,9
1923,9
1924,8
1925,10
1926,9
1927,17
1928,12
1929,10
1930,11
1931,6
1932,8
1933,5
1934,6
1935,0
1936,7
1937,0
1938,5
1939,7
1940,0
1941,6
1942,5
1943,0
1944,0
1945,7
1946,5
1947,0
1948,8
1949,12
1950,0
1951,6
1952,5
1953,10
1954,8
1955,7
1956,8
1957,7
1958,10
1959,6
1960,7
1961,9
1962,10
1963,9
1964,5
1965,9
1966,9
1967,10
1968,6
1969,9
1970,6
1971,0
1972,8
1973,0
1974,6
1975,0
1976,5
1977,6
1978,5
1979,7
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,7
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
