year,Mario (F),Mario (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000020
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000017
1902,0.000000,0.000026
1903,0.000000,0.000016
1904,0.000000,0.000032
1905,0.000000,0.000033
1906,0.000000,0.000035
1907,0.000000,0.000043
1908,0.000000,0.000057
1909,0.000000,0.000053
1910,0.000000,0.000080
1911,0.000000,0.000087
1912,0.000000,0.000154
1913,0.000000,0.000146
1914,0.000000,0.000204
1915,0.000000,0.000193
1916,0.000000,0.000196
1917,0.000003,0.000179
1918,0.000000,0.000162
1919,0.000000,0.000167
1920,0.000000,0.000180
1921,0.000003,0.000215
1922,0.000000,0.000197
1923,0.000000,0.000219
1924,0.000000,0.000203
1925,0.000002,0.000215
1926,0.000003,0.000226
1927,0.000004,0.000212
1928,0.000004,0.000211
1929,0.000002,0.000202
1930,0.000003,0.000202
1931,0.000000,0.000187
1932,0.000000,0.000163
1933,0.000000,0.000159
1934,0.000004,0.000147
1935,0.000000,0.000145
1936,0.000003,0.000142
1937,0.000000,0.000127
1938,0.000000,0.000134
1939,0.000000,0.000108
1940,0.000000,0.000128
1941,0.000000,0.000111
1942,0.000000,0.000111
1943,0.000000,0.000117
1944,0.000000,0.000126
1945,0.000002,0.000130
1946,0.000002,0.000120
1947,0.000000,0.000139
1948,0.000000,0.000180
1949,0.000001,0.000174
1950,0.000000,0.000212
1951,0.000002,0.000235
1952,0.000000,0.000256
1953,0.000003,0.000258
1954,0.000002,0.000270
1955,0.000003,0.000268
1956,0.000002,0.000294
1957,0.000001,0.000274
1958,0.000002,0.000287
1959,0.000003,0.000289
1960,0.000002,0.000318
1961,0.000003,0.000313
1962,0.000003,0.000326
1963,0.000002,0.000333
1964,0.000003,0.000349
1965,0.000003,0.000356
1966,0.000004,0.000372
1967,0.000006,0.000386
1968,0.000007,0.000401
1969,0.000006,0.000469
1970,0.000007,0.000527
1971,0.000007,0.000554
1972,0.000009,0.000614
1973,0.000011,0.000669
1974,0.000010,0.000678
1975,0.000011,0.000681
1976,0.000010,0.000669
1977,0.000010,0.000668
1978,0.000010,0.000702
1979,0.000010,0.000812
1980,0.000011,0.000853
1981,0.000008,0.000785
1982,0.000008,0.000758
1983,0.000008,0.000685
1984,0.000007,0.000673
1985,0.000008,0.000677
1986,0.000010,0.000696
1987,0.000012,0.000759
1988,0.000009,0.000783
1989,0.000008,0.000740
1990,0.000006,0.000714
1991,0.000006,0.000661
1992,0.000004,0.000683
1993,0.000004,0.000655
1994,0.000004,0.000663
1995,0.000004,0.000653
1996,0.000002,0.000652
1997,0.000002,0.000633
1998,0.000002,0.000615
1999,0.000002,0.000619
2000,0.000000,0.000617
2001,0.000003,0.000592
2002,0.000002,0.000606
2003,0.000002,0.000620
2004,0.000002,0.000592
2005,0.000000,0.000598
2006,0.000001,0.000580
2007,0.000000,0.000573
2008,0.000002,0.000551
2009,0.000000,0.000508
2010,0.000000,0.000462
2011,0.000000,0.000437
2012,0.000000,0.000395
2013,0.000000,0.000390
2014,0.000000,0.000369
2015,0.000000,0.000350
2016,0.000000,0.000316
2017,0.000000,0.000318
2018,0.000000,0.000291
2019,0.000000,0.000297
2020,0.000000,0.000300
