year,Myrtie
1880,45
1881,44
1882,64
1883,50
1884,70
1885,60
1886,77
1887,83
1888,72
1889,86
1890,72
1891,60
1892,80
1893,83
1894,71
1895,88
1896,84
1897,66
1898,98
1899,58
1900,68
1901,61
1902,54
1903,59
1904,58
1905,58
1906,61
1907,73
1908,46
1909,63
1910,55
1911,62
1912,69
1913,65
1914,91
1915,101
1916,94
1917,114
1918,84
1919,104
1920,100
1921,102
1922,91
1923,72
1924,77
1925,80
1926,75
1927,65
1928,52
1929,42
1930,59
1931,54
1932,56
1933,64
1934,39
1935,38
1936,33
1937,48
1938,45
1939,30
1940,29
1941,26
1942,39
1943,21
1944,22
1945,12
1946,21
1947,18
1948,13
1949,20
1950,12
1951,13
1952,7
1953,8
1954,12
1955,10
1956,9
1957,6
1958,0
1959,8
1960,0
1961,0
1962,5
1963,0
1964,6
1965,5
1966,0
1967,0
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
