year,Mikeal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,0
1925,5
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,13
1946,12
1947,17
1948,21
1949,20
1950,22
1951,42
1952,60
1953,45
1954,39
1955,43
1956,37
1957,47
1958,52
1959,35
1960,40
1961,35
1962,28
1963,28
1964,33
1965,31
1966,27
1967,24
1968,31
1969,33
1970,29
1971,17
1972,30
1973,26
1974,22
1975,32
1976,23
1977,31
1978,28
1979,35
1980,20
1981,30
1982,25
1983,29
1984,26
1985,35
1986,34
1987,27
1988,29
1989,33
1990,28
1991,51
1992,37
1993,41
1994,35
1995,40
1996,46
1997,46
1998,41
1999,42
2000,37
2001,28
2002,35
2003,40
2004,38
2005,40
2006,34
2007,28
2008,40
2009,35
2010,30
2011,24
2012,30
