year,Marylu
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,6
1925,9
1926,0
1927,17
1928,13
1929,17
1930,12
1931,11
1932,15
1933,11
1934,10
1935,12
1936,12
1937,13
1938,20
1939,9
1940,18
1941,14
1942,5
1943,6
1944,21
1945,14
1946,14
1947,15
1948,13
1949,14
1950,12
1951,12
1952,19
1953,27
1954,21
1955,19
1956,25
1957,13
1958,13
1959,16
1960,15
1961,18
1962,10
1963,9
1964,8
1965,8
1966,5
1967,0
1968,0
1969,6
1970,0
1971,0
1972,5
1973,8
1974,0
1975,0
1976,9
1977,5
1978,0
1979,6
1980,6
1981,8
1982,7
1983,7
1984,7
1985,11
1986,5
1987,11
1988,5
1989,5
1990,11
1991,9
1992,14
1993,9
1994,9
1995,9
1996,10
1997,5
1998,5
1999,6
2000,5
2001,13
2002,6
2003,5
2004,10
2005,13
2006,0
2007,8
2008,10
2009,11
2010,11
2011,9
2012,9
