year,Macaria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,9
1924,8
1925,10
1926,12
1927,8
1928,6
1929,0
1930,8
1931,0
1932,7
1933,8
1934,7
1935,0
1936,7
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,5
1950,0
1951,0
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,5
1979,8
1980,5
1981,0
1982,0
1983,8
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,5
1999,5
2000,5
2001,7
2002,0
2003,7
2004,12
2005,17
2006,22
2007,10
2008,8
2009,7
2010,10
2011,11
2012,11
