year,Margot
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,5
1897,0
1898,0
1899,6
1900,11
1901,0
1902,6
1903,0
1904,6
1905,6
1906,7
1907,9
1908,14
1909,10
1910,12
1911,16
1912,23
1913,19
1914,36
1915,29
1916,32
1917,40
1918,40
1919,38
1920,55
1921,39
1922,51
1923,36
1924,40
1925,40
1926,41
1927,45
1928,53
1929,71
1930,98
1931,67
1932,88
1933,107
1934,124
1935,113
1936,130
1937,126
1938,138
1939,119
1940,125
1941,135
1942,131
1943,134
1944,107
1945,133
1946,106
1947,96
1948,129
1949,110
1950,96
1951,133
1952,127
1953,137
1954,105
1955,114
1956,104
1957,103
1958,93
1959,116
1960,139
1961,132
1962,153
1963,147
1964,135
1965,112
1966,106
1967,93
1968,93
1969,96
1970,86
1971,74
1972,63
1973,40
1974,46
1975,54
1976,64
1977,58
1978,67
1979,67
1980,91
1981,83
1982,115
1983,90
1984,104
1985,111
1986,104
1987,101
1988,92
1989,88
1990,87
1991,99
1992,104
1993,101
1994,85
1995,91
1996,105
1997,89
1998,107
1999,93
2000,90
2001,92
2002,115
2003,126
2004,107
2005,96
2006,111
2007,132
2008,144
2009,159
2010,155
2011,185
2012,237
