year,Melchor
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,0
1920,7
1921,7
1922,10
1923,10
1924,0
1925,6
1926,12
1927,9
1928,0
1929,8
1930,7
1931,5
1932,5
1933,0
1934,5
1935,7
1936,5
1937,0
1938,7
1939,7
1940,0
1941,0
1942,7
1943,5
1944,10
1945,6
1946,8
1947,11
1948,6
1949,0
1950,11
1951,7
1952,9
1953,8
1954,6
1955,9
1956,11
1957,11
1958,0
1959,7
1960,9
1961,12
1962,9
1963,8
1964,5
1965,11
1966,8
1967,11
1968,8
1969,9
1970,8
1971,7
1972,6
1973,11
1974,11
1975,7
1976,8
1977,8
1978,12
1979,15
1980,14
1981,14
1982,8
1983,13
1984,15
1985,7
1986,11
1987,14
1988,11
1989,16
1990,18
1991,14
1992,25
1993,13
1994,15
1995,22
1996,7
1997,12
1998,11
1999,14
2000,11
2001,10
2002,19
2003,11
2004,9
2005,7
2006,8
2007,5
2008,12
2009,6
2010,7
2011,5
2012,8
