year,Marlis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,8
1921,5
1922,0
1923,6
1924,5
1925,13
1926,6
1927,13
1928,15
1929,5
1930,11
1931,14
1932,19
1933,13
1934,29
1935,18
1936,27
1937,17
1938,32
1939,27
1940,32
1941,33
1942,28
1943,23
1944,22
1945,16
1946,26
1947,23
1948,17
1949,24
1950,15
1951,13
1952,25
1953,22
1954,28
1955,18
1956,21
1957,14
1958,19
1959,12
1960,6
1961,9
1962,6
1963,11
1964,13
1965,10
1966,0
1967,6
1968,9
1969,5
1970,8
1971,6
1972,0
1973,0
1974,7
1975,0
1976,8
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,6
1987,0
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
