year,Mossie
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,11
1887,0
1888,9
1889,11
1890,12
1891,7
1892,16
1893,13
1894,12
1895,13
1896,14
1897,8
1898,16
1899,12
1900,21
1901,15
1902,19
1903,11
1904,18
1905,22
1906,13
1907,20
1908,18
1909,23
1910,20
1911,20
1912,29
1913,19
1914,23
1915,28
1916,27
1917,26
1918,33
1919,29
1920,26
1921,35
1922,31
1923,25
1924,27
1925,27
1926,23
1927,21
1928,17
1929,21
1930,18
1931,14
1932,13
1933,10
1934,8
1935,7
1936,7
1937,12
1938,8
1939,11
1940,7
1941,8
1942,14
1943,12
1944,7
1945,14
1946,5
1947,7
1948,10
1949,0
1950,0
1951,7
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
