year,Millard (F),Millard (M)
1880,0.000000,0.000278
1881,0.000000,0.000187
1882,0.000000,0.000316
1883,0.000000,0.000203
1884,0.000000,0.000230
1885,0.000000,0.000262
1886,0.000000,0.000223
1887,0.000000,0.000271
1888,0.000000,0.000234
1889,0.000000,0.000145
1890,0.000000,0.000206
1891,0.000000,0.000188
1892,0.000000,0.000176
1893,0.000000,0.000169
1894,0.000000,0.000139
1895,0.000000,0.000142
1896,0.000000,0.000179
1897,0.000000,0.000135
1898,0.000000,0.000170
1899,0.000000,0.000156
1900,0.000000,0.000151
1901,0.000000,0.000156
1902,0.000000,0.000155
1903,0.000000,0.000150
1904,0.000000,0.000191
1905,0.000000,0.000120
1906,0.000000,0.000145
1907,0.000000,0.000142
1908,0.000000,0.000164
1909,0.000000,0.000155
1910,0.000000,0.000127
1911,0.000000,0.000155
1912,0.000000,0.000189
1913,0.000000,0.000219
1914,0.000000,0.000197
1915,0.000000,0.000222
1916,0.000000,0.000206
1917,0.000003,0.000210
1918,0.000000,0.000199
1919,0.000004,0.000204
1920,0.000000,0.000185
1921,0.000000,0.000198
1922,0.000003,0.000209
1923,0.000000,0.000176
1924,0.000000,0.000170
1925,0.000000,0.000165
1926,0.000000,0.000163
1927,0.000000,0.000167
1928,0.000000,0.000145
1929,0.000000,0.000146
1930,0.000002,0.000152
1931,0.000000,0.000120
1932,0.000000,0.000140
1933,0.000000,0.000139
1934,0.000000,0.000120
1935,0.000000,0.000121
1936,0.000000,0.000115
1937,0.000000,0.000124
1938,0.000000,0.000104
1939,0.000003,0.000093
1940,0.000000,0.000091
1941,0.000000,0.000085
1942,0.000000,0.000083
1943,0.000000,0.000083
1944,0.000000,0.000079
1945,0.000000,0.000075
1946,0.000000,0.000069
1947,0.000000,0.000060
1948,0.000000,0.000055
1949,0.000000,0.000056
1950,0.000000,0.000052
1951,0.000000,0.000047
1952,0.000000,0.000048
1953,0.000000,0.000037
1954,0.000000,0.000045
1955,0.000000,0.000041
1956,0.000000,0.000032
1957,0.000000,0.000031
1958,0.000000,0.000027
1959,0.000000,0.000026
1960,0.000000,0.000030
1961,0.000000,0.000021
1962,0.000000,0.000024
1963,0.000000,0.000023
1964,0.000000,0.000023
1965,0.000000,0.000021
1966,0.000000,0.000020
1967,0.000000,0.000018
1968,0.000000,0.000017
1969,0.000000,0.000022
1970,0.000000,0.000020
1971,0.000000,0.000019
1972,0.000000,0.000016
1973,0.000000,0.000017
1974,0.000000,0.000012
1975,0.000000,0.000013
1976,0.000000,0.000012
1977,0.000000,0.000014
1978,0.000000,0.000009
1979,0.000000,0.000010
1980,0.000000,0.000008
1981,0.000000,0.000006
1982,0.000000,0.000010
1983,0.000000,0.000009
1984,0.000000,0.000006
1985,0.000000,0.000005
1986,0.000000,0.000004
1987,0.000000,0.000007
1988,0.000000,0.000007
1989,0.000000,0.000005
1990,0.000000,0.000004
1991,0.000000,0.000005
1992,0.000000,0.000003
1993,0.000000,0.000004
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000000
2007,0.000000,0.000001
2008,0.000000,0.000002
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000000
2012,0.000000,0.000002
2013,0.000000,0.000002
2014,0.000000,0.000000
2015,0.000000,0.000002
2016,0.000000,0.000003
2017,0.000000,0.000002
2018,0.000000,0.000003
2019,0.000000,0.000002
2020,0.000000,0.000002
