year,Maryalice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,6
1910,0
1911,5
1912,0
1913,11
1914,11
1915,19
1916,15
1917,25
1918,21
1919,16
1920,34
1921,34
1922,41
1923,38
1924,37
1925,26
1926,33
1927,38
1928,28
1929,19
1930,13
1931,15
1932,18
1933,25
1934,21
1935,29
1936,26
1937,32
1938,17
1939,26
1940,26
1941,36
1942,36
1943,32
1944,44
1945,29
1946,41
1947,51
1948,36
1949,27
1950,32
1951,28
1952,17
1953,31
1954,24
1955,32
1956,27
1957,28
1958,36
1959,28
1960,42
1961,41
1962,45
1963,46
1964,45
1965,32
1966,30
1967,27
1968,26
1969,16
1970,24
1971,17
1972,13
1973,17
1974,12
1975,10
1976,12
1977,16
1978,10
1979,14
1980,11
1981,13
1982,16
1983,17
1984,9
1985,15
1986,21
1987,9
1988,20
1989,16
1990,16
1991,21
1992,16
1993,16
1994,11
1995,13
1996,11
1997,15
1998,9
1999,13
2000,12
2001,8
2002,14
2003,9
2004,10
2005,10
2006,13
2007,15
2008,22
2009,13
2010,13
2011,18
2012,15
