year,Melbourne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,5
1905,0
1906,0
1907,5
1908,5
1909,0
1910,0
1911,6
1912,12
1913,26
1914,25
1915,34
1916,31
1917,32
1918,33
1919,29
1920,42
1921,39
1922,44
1923,27
1924,28
1925,28
1926,33
1927,30
1928,42
1929,15
1930,25
1931,20
1932,28
1933,19
1934,17
1935,12
1936,14
1937,17
1938,8
1939,18
1940,13
1941,14
1942,14
1943,14
1944,13
1945,12
1946,15
1947,13
1948,14
1949,18
1950,7
1951,8
1952,5
1953,9
1954,8
1955,6
1956,11
1957,8
1958,10
1959,5
1960,0
1961,8
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,9
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,7
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
