year,Monita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,8
1917,5
1918,9
1919,0
1920,0
1921,5
1922,5
1923,0
1924,0
1925,0
1926,0
1927,7
1928,9
1929,5
1930,0
1931,0
1932,0
1933,7
1934,6
1935,7
1936,0
1937,0
1938,7
1939,0
1940,7
1941,8
1942,10
1943,9
1944,0
1945,0
1946,9
1947,0
1948,6
1949,7
1950,11
1951,7
1952,0
1953,0
1954,9
1955,7
1956,5
1957,6
1958,0
1959,9
1960,11
1961,19
1962,9
1963,15
1964,12
1965,14
1966,12
1967,8
1968,12
1969,11
1970,9
1971,8
1972,10
1973,11
1974,10
1975,9
1976,12
1977,10
1978,10
1979,8
1980,8
1981,11
1982,17
1983,7
1984,7
1985,0
1986,11
1987,0
1988,5
1989,7
1990,6
1991,6
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
