year,Murray (F),Murray (M)
1880,0.000000,0.000084
1881,0.000000,0.000073
1882,0.000000,0.000086
1883,0.000000,0.000092
1884,0.000000,0.000070
1885,0.000000,0.000087
1886,0.000000,0.000074
1887,0.000000,0.000137
1888,0.000000,0.000060
1889,0.000000,0.000083
1890,0.000000,0.000106
1891,0.000000,0.000073
1892,0.000000,0.000072
1893,0.000000,0.000055
1894,0.000000,0.000080
1895,0.000000,0.000111
1896,0.000000,0.000087
1897,0.000000,0.000118
1898,0.000000,0.000084
1899,0.000000,0.000097
1900,0.000000,0.000109
1901,0.000000,0.000119
1902,0.000000,0.000098
1903,0.000000,0.000081
1904,0.000012,0.000114
1905,0.000000,0.000142
1906,0.000000,0.000110
1907,0.000000,0.000153
1908,0.000000,0.000147
1909,0.000000,0.000131
1910,0.000010,0.000151
1911,0.000008,0.000216
1912,0.000007,0.000257
1913,0.000004,0.000236
1914,0.000004,0.000240
1915,0.000000,0.000196
1916,0.000005,0.000224
1917,0.000005,0.000217
1918,0.000003,0.000220
1919,0.000002,0.000220
1920,0.000003,0.000232
1921,0.000003,0.000259
1922,0.000003,0.000274
1923,0.000004,0.000256
1924,0.000005,0.000248
1925,0.000004,0.000250
1926,0.000004,0.000249
1927,0.000003,0.000220
1928,0.000004,0.000223
1929,0.000000,0.000199
1930,0.000003,0.000185
1931,0.000000,0.000179
1932,0.000003,0.000162
1933,0.000003,0.000140
1934,0.000000,0.000126
1935,0.000000,0.000122
1936,0.000000,0.000107
1937,0.000000,0.000118
1938,0.000000,0.000120
1939,0.000003,0.000111
1940,0.000002,0.000113
1941,0.000000,0.000109
1942,0.000003,0.000094
1943,0.000003,0.000103
1944,0.000002,0.000081
1945,0.000000,0.000071
1946,0.000002,0.000074
1947,0.000002,0.000082
1948,0.000002,0.000073
1949,0.000002,0.000079
1950,0.000000,0.000067
1951,0.000001,0.000074
1952,0.000001,0.000074
1953,0.000002,0.000064
1954,0.000001,0.000072
1955,0.000000,0.000070
1956,0.000002,0.000075
1957,0.000001,0.000064
1958,0.000000,0.000062
1959,0.000000,0.000058
1960,0.000002,0.000052
1961,0.000001,0.000055
1962,0.000002,0.000050
1963,0.000000,0.000052
1964,0.000002,0.000045
1965,0.000000,0.000038
1966,0.000000,0.000040
1967,0.000000,0.000035
1968,0.000000,0.000028
1969,0.000002,0.000033
1970,0.000000,0.000030
1971,0.000001,0.000027
1972,0.000000,0.000021
1973,0.000000,0.000023
1974,0.000002,0.000020
1975,0.000000,0.000023
1976,0.000000,0.000018
1977,0.000000,0.000014
1978,0.000000,0.000016
1979,0.000000,0.000016
1980,0.000000,0.000018
1981,0.000000,0.000014
1982,0.000000,0.000014
1983,0.000000,0.000012
1984,0.000000,0.000011
1985,0.000000,0.000009
1986,0.000002,0.000011
1987,0.000000,0.000009
1988,0.000000,0.000009
1989,0.000000,0.000012
1990,0.000001,0.000009
1991,0.000000,0.000009
1992,0.000000,0.000010
1993,0.000000,0.000009
1994,0.000000,0.000008
1995,0.000000,0.000007
1996,0.000000,0.000009
1997,0.000000,0.000005
1998,0.000000,0.000008
1999,0.000000,0.000008
2000,0.000000,0.000007
2001,0.000000,0.000009
2002,0.000000,0.000005
2003,0.000000,0.000006
2004,0.000000,0.000004
2005,0.000000,0.000009
2006,0.000000,0.000005
2007,0.000000,0.000005
2008,0.000000,0.000007
2009,0.000000,0.000006
2010,0.000000,0.000008
2011,0.000000,0.000008
2012,0.000001,0.000012
2013,0.000000,0.000007
