year,Myrta
1880,17
1881,13
1882,21
1883,22
1884,22
1885,19
1886,17
1887,17
1888,20
1889,14
1890,13
1891,10
1892,12
1893,11
1894,5
1895,9
1896,20
1897,5
1898,7
1899,10
1900,6
1901,0
1902,7
1903,0
1904,8
1905,8
1906,6
1907,5
1908,0
1909,5
1910,0
1911,7
1912,10
1913,9
1914,9
1915,13
1916,15
1917,21
1918,14
1919,6
1920,21
1921,24
1922,17
1923,18
1924,19
1925,13
1926,12
1927,13
1928,17
1929,14
1930,13
1931,15
1932,12
1933,0
1934,9
1935,8
1936,5
1937,13
1938,9
1939,8
1940,11
1941,10
1942,11
1943,8
1944,9
1945,0
1946,5
1947,14
1948,0
1949,7
1950,0
1951,0
1952,6
1953,8
1954,7
1955,11
1956,11
1957,14
1958,8
1959,10
1960,9
1961,5
1962,9
1963,9
1964,0
1965,5
1966,10
1967,8
1968,7
1969,9
1970,6
1971,0
1972,7
1973,5
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,7
1982,0
1983,0
1984,0
1985,0
1986,7
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
