year,Melodie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,5
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,13
1942,48
1943,40
1944,41
1945,46
1946,74
1947,111
1948,69
1949,98
1950,96
1951,128
1952,149
1953,128
1954,191
1955,299
1956,408
1957,343
1958,308
1959,301
1960,311
1961,229
1962,232
1963,243
1964,217
1965,212
1966,208
1967,209
1968,171
1969,193
1970,131
1971,145
1972,152
1973,162
1974,135
1975,129
1976,122
1977,146
1978,144
1979,131
1980,142
1981,122
1982,105
1983,107
1984,102
1985,96
1986,96
1987,83
1988,79
1989,77
1990,79
1991,97
1992,75
1993,75
1994,75
1995,90
1996,51
1997,54
1998,61
1999,47
2000,70
2001,91
2002,62
2003,83
2004,77
2005,58
2006,77
2007,80
2008,70
2009,82
2010,119
2011,91
2012,98
