year,Marlo (F),Marlo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000004
1916,0.000000,0.000000
1917,0.000000,0.000004
1918,0.000000,0.000000
1919,0.000000,0.000005
1920,0.000000,0.000004
1921,0.000000,0.000000
1922,0.000000,0.000003
1923,0.000000,0.000004
1924,0.000000,0.000005
1925,0.000000,0.000004
1926,0.000000,0.000005
1927,0.000000,0.000004
1928,0.000000,0.000006
1929,0.000000,0.000008
1930,0.000000,0.000006
1931,0.000004,0.000006
1932,0.000000,0.000007
1933,0.000000,0.000009
1934,0.000003,0.000009
1935,0.000003,0.000013
1936,0.000000,0.000008
1937,0.000000,0.000008
1938,0.000004,0.000008
1939,0.000003,0.000007
1940,0.000000,0.000006
1941,0.000003,0.000007
1942,0.000004,0.000005
1943,0.000005,0.000006
1944,0.000003,0.000004
1945,0.000003,0.000004
1946,0.000004,0.000003
1947,0.000004,0.000003
1948,0.000005,0.000004
1949,0.000003,0.000004
1950,0.000002,0.000005
1951,0.000004,0.000007
1952,0.000004,0.000009
1953,0.000002,0.000006
1954,0.000005,0.000008
1955,0.000002,0.000007
1956,0.000003,0.000006
1957,0.000003,0.000005
1958,0.000001,0.000007
1959,0.000002,0.000006
1960,0.000002,0.000007
1961,0.000003,0.000006
1962,0.000007,0.000005
1963,0.000004,0.000005
1964,0.000006,0.000005
1965,0.000004,0.000007
1966,0.000029,0.000008
1967,0.000104,0.000008
1968,0.000161,0.000008
1969,0.000144,0.000010
1970,0.000164,0.000012
1971,0.000140,0.000014
1972,0.000103,0.000027
1973,0.000083,0.000026
1974,0.000068,0.000023
1975,0.000063,0.000017
1976,0.000055,0.000027
1977,0.000043,0.000020
1978,0.000032,0.000021
1979,0.000028,0.000021
1980,0.000028,0.000016
1981,0.000018,0.000014
1982,0.000021,0.000011
1983,0.000016,0.000014
1984,0.000014,0.000011
1985,0.000015,0.000007
1986,0.000010,0.000007
1987,0.000010,0.000010
1988,0.000010,0.000014
1989,0.000008,0.000008
1990,0.000008,0.000007
1991,0.000008,0.000008
1992,0.000012,0.000006
1993,0.000006,0.000007
1994,0.000005,0.000008
1995,0.000008,0.000010
1996,0.000010,0.000009
1997,0.000011,0.000006
1998,0.000011,0.000008
1999,0.000008,0.000009
2000,0.000010,0.000008
2001,0.000008,0.000008
2002,0.000009,0.000007
2003,0.000009,0.000010
2004,0.000009,0.000006
2005,0.000011,0.000007
2006,0.000015,0.000010
2007,0.000011,0.000008
2008,0.000020,0.000009
2009,0.000019,0.000008
2010,0.000023,0.000012
2011,0.000022,0.000011
2012,0.000028,0.000011
2013,0.000025,0.000013
