year,Morton (F),Morton (M)
1880,0.000000,0.000079
1881,0.000000,0.000073
1882,0.000000,0.000104
1883,0.000000,0.000028
1884,0.000000,0.000045
1885,0.000000,0.000033
1886,0.000000,0.000023
1887,0.000000,0.000073
1888,0.000000,0.000177
1889,0.000000,0.000125
1890,0.000000,0.000103
1891,0.000000,0.000052
1892,0.000000,0.000081
1893,0.000000,0.000061
1894,0.000000,0.000080
1895,0.000000,0.000066
1896,0.000000,0.000050
1897,0.000000,0.000040
1898,0.000000,0.000034
1899,0.000000,0.000032
1900,0.000000,0.000029
1901,0.000000,0.000029
1902,0.000000,0.000039
1903,0.000000,0.000031
1904,0.000000,0.000047
1905,0.000000,0.000059
1906,0.000000,0.000072
1907,0.000000,0.000077
1908,0.000000,0.000057
1909,0.000000,0.000049
1910,0.000000,0.000068
1911,0.000000,0.000113
1912,0.000000,0.000139
1913,0.000000,0.000163
1914,0.000000,0.000165
1915,0.000000,0.000156
1916,0.000000,0.000165
1917,0.000000,0.000171
1918,0.000002,0.000183
1919,0.000000,0.000179
1920,0.000000,0.000192
1921,0.000000,0.000198
1922,0.000000,0.000201
1923,0.000000,0.000208
1924,0.000000,0.000198
1925,0.000000,0.000178
1926,0.000000,0.000193
1927,0.000000,0.000177
1928,0.000000,0.000164
1929,0.000000,0.000177
1930,0.000000,0.000165
1931,0.000000,0.000193
1932,0.000000,0.000191
1933,0.000000,0.000166
1934,0.000000,0.000149
1935,0.000000,0.000148
1936,0.000000,0.000132
1937,0.000000,0.000102
1938,0.000000,0.000090
1939,0.000000,0.000064
1940,0.000000,0.000057
1941,0.000000,0.000048
1942,0.000000,0.000043
1943,0.000000,0.000043
1944,0.000000,0.000035
1945,0.000000,0.000041
1946,0.000000,0.000029
1947,0.000000,0.000027
1948,0.000000,0.000018
1949,0.000000,0.000020
1950,0.000000,0.000016
1951,0.000000,0.000015
1952,0.000000,0.000012
1953,0.000000,0.000013
1954,0.000000,0.000014
1955,0.000000,0.000008
1956,0.000000,0.000009
1957,0.000000,0.000010
1958,0.000000,0.000009
1959,0.000000,0.000008
1960,0.000000,0.000008
1961,0.000000,0.000007
1962,0.000000,0.000009
1963,0.000000,0.000007
1964,0.000000,0.000008
1965,0.000000,0.000006
1966,0.000000,0.000009
1967,0.000000,0.000006
1968,0.000000,0.000006
1969,0.000000,0.000006
1970,0.000000,0.000004
1971,0.000000,0.000007
1972,0.000000,0.000006
1973,0.000000,0.000003
1974,0.000000,0.000003
1975,0.000000,0.000003
1976,0.000000,0.000005
1977,0.000000,0.000003
1978,0.000000,0.000005
1979,0.000000,0.000005
1980,0.000000,0.000003
1981,0.000000,0.000005
1982,0.000000,0.000002
1983,0.000000,0.000000
1984,0.000000,0.000002
1985,0.000000,0.000002
1986,0.000000,0.000000
1987,0.000000,0.000003
1988,0.000000,0.000001
1989,0.000000,0.000003
1990,0.000000,0.000001
1991,0.000000,0.000001
1992,0.000000,0.000002
1993,0.000000,0.000003
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000002
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000000
2000,0.000000,0.000001
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000001
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000000
