year,Marley (F),Marley (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000005
1915,0.000000,0.000004
1916,0.000000,0.000004
1917,0.000000,0.000003
1918,0.000000,0.000003
1919,0.000000,0.000000
1920,0.000000,0.000004
1921,0.000000,0.000005
1922,0.000000,0.000002
1923,0.000000,0.000003
1924,0.000000,0.000004
1925,0.000000,0.000003
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000004
1929,0.000000,0.000004
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000003
1933,0.000000,0.000000
1934,0.000000,0.000006
1935,0.000000,0.000000
1936,0.000000,0.000003
1937,0.000003,0.000004
1938,0.000003,0.000004
1939,0.000000,0.000005
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000004
1943,0.000000,0.000000
1944,0.000000,0.000002
1945,0.000000,0.000000
1946,0.000002,0.000000
1947,0.000000,0.000003
1948,0.000001,0.000000
1949,0.000002,0.000001
1950,0.000002,0.000002
1951,0.000002,0.000003
1952,0.000000,0.000000
1953,0.000002,0.000000
1954,0.000000,0.000002
1955,0.000001,0.000001
1956,0.000000,0.000002
1957,0.000002,0.000001
1958,0.000000,0.000001
1959,0.000002,0.000002
1960,0.000000,0.000000
1961,0.000000,0.000000
1962,0.000001,0.000001
1963,0.000000,0.000000
1964,0.000000,0.000000
1965,0.000001,0.000000
1966,0.000002,0.000000
1967,0.000002,0.000000
1968,0.000001,0.000000
1969,0.000003,0.000002
1970,0.000002,0.000000
1971,0.000003,0.000001
1972,0.000003,0.000000
1973,0.000004,0.000000
1974,0.000005,0.000000
1975,0.000004,0.000002
1976,0.000002,0.000000
1977,0.000006,0.000000
1978,0.000005,0.000002
1979,0.000004,0.000000
1980,0.000004,0.000001
1981,0.000005,0.000004
1982,0.000007,0.000005
1983,0.000009,0.000003
1984,0.000009,0.000004
1985,0.000024,0.000003
1986,0.000018,0.000003
1987,0.000018,0.000002
1988,0.000021,0.000003
1989,0.000023,0.000005
1990,0.000021,0.000003
1991,0.000035,0.000003
1992,0.000040,0.000006
1993,0.000046,0.000009
1994,0.000058,0.000010
1995,0.000057,0.000006
1996,0.000064,0.000008
1997,0.000062,0.000011
1998,0.000078,0.000011
1999,0.000086,0.000015
2000,0.000089,0.000016
2001,0.000113,0.000016
2002,0.000108,0.000021
2003,0.000128,0.000022
2004,0.000146,0.000020
2005,0.000169,0.000024
2006,0.000194,0.000034
2007,0.000210,0.000035
2008,0.000600,0.000074
2009,0.000568,0.000075
2010,0.000364,0.000060
2011,0.000338,0.000050
2012,0.000340,0.000052
2013,0.000420,0.000066
2014,0.000445,0.000075
2015,0.000405,0.000071
2016,0.000408,0.000072
2017,0.000413,0.000061
2018,0.000403,0.000069
2019,0.000383,0.000055
2020,0.000410,0.000070
