year,Mcarthur
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,6
1933,0
1934,7
1935,0
1936,0
1937,0
1938,6
1939,0
1940,9
1941,14
1942,289
1943,173
1944,134
1945,112
1946,86
1947,64
1948,45
1949,53
1950,53
1951,77
1952,42
1953,29
1954,32
1955,30
1956,27
1957,29
1958,15
1959,31
1960,24
1961,20
1962,33
1963,44
1964,46
1965,37
1966,27
1967,26
1968,35
1969,31
1970,29
1971,38
1972,26
1973,29
1974,16
1975,14
1976,12
1977,16
1978,24
1979,12
1980,18
1981,24
1982,15
1983,10
1984,14
1985,15
1986,11
1987,17
1988,12
1989,20
1990,13
1991,21
1992,11
1993,8
1994,11
1995,6
1996,5
1997,10
1998,6
1999,5
2000,8
2001,7
2002,10
2003,5
2004,5
2005,6
2006,9
2007,6
2008,0
2009,0
2010,6
2011,7
2012,0
