year,Maren
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,8
1917,0
1918,0
1919,7
1920,0
1921,6
1922,12
1923,8
1924,0
1925,11
1926,0
1927,8
1928,0
1929,0
1930,6
1931,7
1932,10
1933,9
1934,12
1935,13
1936,7
1937,13
1938,18
1939,12
1940,22
1941,17
1942,24
1943,34
1944,22
1945,26
1946,24
1947,29
1948,28
1949,25
1950,44
1951,38
1952,34
1953,22
1954,31
1955,46
1956,30
1957,40
1958,21
1959,29
1960,36
1961,31
1962,36
1963,27
1964,21
1965,32
1966,35
1967,36
1968,40
1969,49
1970,47
1971,48
1972,42
1973,39
1974,50
1975,68
1976,57
1977,62
1978,81
1979,226
1980,159
1981,135
1982,149
1983,112
1984,99
1985,98
1986,92
1987,102
1988,82
1989,70
1990,75
1991,69
1992,71
1993,85
1994,81
1995,99
1996,116
1997,130
1998,132
1999,131
2000,139
2001,169
2002,161
2003,175
2004,255
2005,266
2006,252
2007,276
2008,278
2009,233
2010,189
2011,226
2012,229
