year,Marcene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,11
1919,7
1920,34
1921,22
1922,29
1923,31
1924,24
1925,24
1926,20
1927,22
1928,23
1929,21
1930,19
1931,33
1932,28
1933,27
1934,30
1935,21
1936,29
1937,21
1938,23
1939,22
1940,28
1941,15
1942,24
1943,37
1944,20
1945,29
1946,43
1947,36
1948,23
1949,30
1950,40
1951,33
1952,32
1953,28
1954,35
1955,23
1956,18
1957,22
1958,17
1959,24
1960,26
1961,12
1962,17
1963,16
1964,13
1965,9
1966,11
1967,22
1968,5
1969,11
1970,10
1971,12
1972,8
1973,8
1974,7
1975,0
1976,0
1977,6
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
