year,Melissia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,7
1921,7
1922,6
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,5
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,7
1952,5
1953,15
1954,13
1955,10
1956,14
1957,10
1958,15
1959,16
1960,17
1961,15
1962,21
1963,38
1964,39
1965,43
1966,68
1967,102
1968,121
1969,93
1970,112
1971,120
1972,90
1973,85
1974,69
1975,83
1976,70
1977,72
1978,56
1979,71
1980,47
1981,57
1982,39
1983,31
1984,25
1985,29
1986,28
1987,28
1988,16
1989,17
1990,16
1991,14
1992,14
1993,9
1994,0
1995,5
1996,0
1997,0
1998,0
1999,6
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
