year,Malissa
1880,22
1881,16
1882,7
1883,24
1884,13
1885,25
1886,21
1887,17
1888,16
1889,24
1890,20
1891,17
1892,21
1893,20
1894,18
1895,24
1896,25
1897,17
1898,12
1899,18
1900,30
1901,14
1902,24
1903,14
1904,20
1905,23
1906,20
1907,22
1908,15
1909,14
1910,22
1911,17
1912,25
1913,22
1914,35
1915,23
1916,25
1917,23
1918,28
1919,30
1920,28
1921,32
1922,29
1923,29
1924,42
1925,18
1926,25
1927,26
1928,17
1929,19
1930,21
1931,13
1932,15
1933,10
1934,8
1935,14
1936,7
1937,12
1938,5
1939,16
1940,18
1941,6
1942,17
1943,16
1944,8
1945,10
1946,17
1947,24
1948,16
1949,17
1950,20
1951,31
1952,23
1953,22
1954,22
1955,22
1956,36
1957,47
1958,38
1959,32
1960,51
1961,56
1962,62
1963,83
1964,96
1965,126
1966,183
1967,221
1968,257
1969,268
1970,265
1971,294
1972,305
1973,288
1974,234
1975,231
1976,231
1977,258
1978,244
1979,307
1980,207
1981,228
1982,211
1983,177
1984,183
1985,170
1986,169
1987,148
1988,158
1989,153
1990,150
1991,129
1992,129
1993,112
1994,95
1995,60
1996,65
1997,64
1998,55
1999,43
2000,35
2001,32
2002,32
2003,30
2004,30
2005,31
2006,28
2007,32
2008,32
2009,20
2010,12
2011,16
2012,7
