year,Maudie
1880,9
1881,24
1882,20
1883,32
1884,35
1885,54
1886,47
1887,74
1888,68
1889,84
1890,107
1891,92
1892,116
1893,99
1894,128
1895,120
1896,132
1897,138
1898,115
1899,153
1900,176
1901,149
1902,155
1903,151
1904,166
1905,164
1906,155
1907,161
1908,189
1909,160
1910,198
1911,176
1912,218
1913,226
1914,282
1915,299
1916,283
1917,310
1918,354
1919,313
1920,329
1921,311
1922,323
1923,295
1924,295
1925,234
1926,225
1927,212
1928,205
1929,199
1930,190
1931,176
1932,155
1933,169
1934,157
1935,147
1936,129
1937,136
1938,107
1939,114
1940,121
1941,106
1942,137
1943,91
1944,82
1945,63
1946,68
1947,89
1948,79
1949,64
1950,59
1951,64
1952,53
1953,44
1954,42
1955,58
1956,34
1957,26
1958,31
1959,27
1960,24
1961,29
1962,19
1963,22
1964,15
1965,15
1966,16
1967,11
1968,12
1969,14
1970,9
1971,14
1972,10
1973,10
1974,15
1975,11
1976,0
1977,6
1978,8
1979,8
1980,6
1981,0
1982,8
1983,7
1984,12
1985,8
1986,5
1987,0
1988,0
1989,5
1990,0
1991,0
1992,7
1993,0
1994,0
1995,0
1996,0
1997,5
1998,5
1999,5
2000,0
2001,0
2002,6
2003,0
2004,0
2005,6
2006,6
2007,0
2008,0
2009,0
2010,0
2011,9
2012,0
