year,Murphy (F),Murphy (M)
1880,0.000000,0.000000
1881,0.000000,0.000031
1882,0.000000,0.000000
1883,0.000000,0.000032
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000020
1891,0.000000,0.000021
1892,0.000000,0.000048
1893,0.000000,0.000040
1894,0.000000,0.000024
1895,0.000000,0.000031
1896,0.000000,0.000017
1897,0.000000,0.000040
1898,0.000013,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000047
1901,0.000000,0.000026
1902,0.000000,0.000018
1903,0.000013,0.000045
1904,0.000000,0.000027
1905,0.000000,0.000040
1906,0.000000,0.000040
1907,0.000000,0.000045
1908,0.000000,0.000035
1909,0.000000,0.000029
1910,0.000000,0.000024
1911,0.000000,0.000028
1912,0.000000,0.000041
1913,0.000000,0.000025
1914,0.000006,0.000036
1915,0.000003,0.000033
1916,0.000000,0.000036
1917,0.000003,0.000036
1918,0.000003,0.000027
1919,0.000003,0.000035
1920,0.000000,0.000032
1921,0.000000,0.000028
1922,0.000004,0.000034
1923,0.000000,0.000036
1924,0.000000,0.000027
1925,0.000000,0.000029
1926,0.000000,0.000039
1927,0.000000,0.000038
1928,0.000000,0.000023
1929,0.000000,0.000030
1930,0.000003,0.000027
1931,0.000003,0.000028
1932,0.000002,0.000038
1933,0.000000,0.000027
1934,0.000000,0.000028
1935,0.000002,0.000029
1936,0.000000,0.000021
1937,0.000000,0.000025
1938,0.000000,0.000031
1939,0.000002,0.000029
1940,0.000000,0.000023
1941,0.000000,0.000025
1942,0.000000,0.000021
1943,0.000002,0.000022
1944,0.000000,0.000026
1945,0.000000,0.000015
1946,0.000000,0.000014
1947,0.000000,0.000016
1948,0.000000,0.000017
1949,0.000000,0.000019
1950,0.000000,0.000017
1951,0.000000,0.000017
1952,0.000000,0.000021
1953,0.000000,0.000017
1954,0.000000,0.000015
1955,0.000000,0.000015
1956,0.000000,0.000016
1957,0.000000,0.000010
1958,0.000000,0.000014
1959,0.000000,0.000011
1960,0.000000,0.000010
1961,0.000000,0.000009
1962,0.000000,0.000012
1963,0.000000,0.000013
1964,0.000000,0.000014
1965,0.000000,0.000010
1966,0.000000,0.000010
1967,0.000000,0.000007
1968,0.000000,0.000011
1969,0.000000,0.000006
1970,0.000000,0.000009
1971,0.000000,0.000011
1972,0.000000,0.000012
1973,0.000000,0.000009
1974,0.000000,0.000013
1975,0.000000,0.000011
1976,0.000000,0.000012
1977,0.000000,0.000009
1978,0.000000,0.000010
1979,0.000000,0.000014
1980,0.000000,0.000007
1981,0.000000,0.000010
1982,0.000000,0.000008
1983,0.000000,0.000007
1984,0.000000,0.000009
1985,0.000000,0.000007
1986,0.000000,0.000013
1987,0.000002,0.000007
1988,0.000000,0.000010
1989,0.000008,0.000016
1990,0.000008,0.000018
1991,0.000011,0.000019
1992,0.000015,0.000011
1993,0.000007,0.000014
1994,0.000008,0.000015
1995,0.000009,0.000016
1996,0.000008,0.000014
1997,0.000007,0.000013
1998,0.000008,0.000013
1999,0.000008,0.000011
2000,0.000006,0.000014
2001,0.000005,0.000012
2002,0.000007,0.000015
2003,0.000009,0.000015
2004,0.000007,0.000021
2005,0.000008,0.000017
2006,0.000009,0.000015
2007,0.000005,0.000020
2008,0.000009,0.000021
2009,0.000006,0.000024
2010,0.000008,0.000028
2011,0.000007,0.000028
2012,0.000007,0.000020
2013,0.000009,0.000029
