year,Marcine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,7
1917,7
1918,11
1919,9
1920,14
1921,14
1922,21
1923,13
1924,23
1925,23
1926,20
1927,22
1928,25
1929,28
1930,25
1931,17
1932,16
1933,18
1934,21
1935,20
1936,26
1937,18
1938,20
1939,15
1940,18
1941,10
1942,18
1943,18
1944,15
1945,11
1946,20
1947,20
1948,16
1949,23
1950,23
1951,24
1952,25
1953,22
1954,16
1955,24
1956,22
1957,17
1958,12
1959,19
1960,15
1961,15
1962,9
1963,23
1964,18
1965,9
1966,19
1967,17
1968,10
1969,13
1970,10
1971,7
1972,9
1973,10
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
