year,Maretta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,0
1915,7
1916,12
1917,0
1918,11
1919,7
1920,7
1921,11
1922,6
1923,9
1924,9
1925,13
1926,7
1927,5
1928,8
1929,13
1930,11
1931,8
1932,11
1933,11
1934,9
1935,10
1936,15
1937,16
1938,12
1939,12
1940,21
1941,13
1942,13
1943,9
1944,14
1945,16
1946,12
1947,12
1948,12
1949,19
1950,26
1951,15
1952,18
1953,17
1954,23
1955,23
1956,5
1957,13
1958,16
1959,18
1960,11
1961,19
1962,14
1963,11
1964,20
1965,12
1966,18
1967,9
1968,9
1969,12
1970,8
1971,21
1972,16
1973,19
1974,11
1975,17
1976,7
1977,6
1978,6
1979,7
1980,9
1981,0
1982,0
1983,6
1984,9
1985,5
1986,0
1987,6
1988,0
1989,8
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,7
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,6
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
