year,Manford
1880,9
1881,0
1882,7
1883,5
1884,0
1885,0
1886,6
1887,6
1888,7
1889,6
1890,5
1891,0
1892,0
1893,6
1894,8
1895,0
1896,0
1897,6
1898,0
1899,0
1900,6
1901,0
1902,7
1903,5
1904,7
1905,7
1906,9
1907,0
1908,0
1909,15
1910,8
1911,10
1912,20
1913,17
1914,31
1915,44
1916,47
1917,33
1918,49
1919,46
1920,46
1921,42
1922,42
1923,41
1924,44
1925,29
1926,31
1927,39
1928,43
1929,25
1930,46
1931,33
1932,29
1933,22
1934,28
1935,33
1936,27
1937,21
1938,18
1939,14
1940,18
1941,23
1942,21
1943,21
1944,26
1945,17
1946,11
1947,20
1948,9
1949,14
1950,13
1951,17
1952,9
1953,10
1954,13
1955,12
1956,9
1957,12
1958,9
1959,13
1960,6
1961,5
1962,7
1963,8
1964,7
1965,5
1966,9
1967,7
1968,5
1969,9
1970,5
1971,0
1972,7
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,7
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
