year,Mazzie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,8
1906,0
1907,0
1908,0
1909,0
1910,5
1911,8
1912,8
1913,15
1914,7
1915,16
1916,6
1917,9
1918,7
1919,13
1920,6
1921,0
1922,9
1923,6
1924,9
1925,8
1926,5
1927,9
1928,5
1929,5
1930,5
1931,0
1932,6
1933,8
1934,5
1935,0
1936,7
1937,5
1938,0
1939,0
1940,0
1941,5
1942,5
1943,5
1944,5
1945,5
1946,8
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,12
2000,5
2001,5
2002,0
2003,13
2004,10
2005,6
2006,10
2007,6
2008,8
2009,9
2010,10
2011,8
2012,16
